""	"Gene.symbol"	"baseMean"	"logFC"	"lfcSE"	"stat"	"pvalue"	"adj.P.Val"	"KO_Number"	"KO_Class"	"KO_Subclass_1"	"KO_Subclass_2"	"abundance"	"path"	"sig"	"pch"
"34"	"K00074"	1.15491207968098	3.14610914190463	3.43638872481914	0.915527722222466	0.359914655824987	NA	"K00074"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"	1.26315789473684	"K00074_Metabolism_Carbohydrate metabolism_ Butanoate metabolism"	NA	19
"35"	"K00075"	8.16074777956088	5.96741916743004	0.918774745333253	6.49497518052216	8.30471010635438e-11	4.09451130119263e-10	"K00075"	"Metabolism"	"Carbohydrate metabolism"	" Amino sugar and nucleotide sugar metabolism"	9.26315789473684	"K00075_Metabolism_Carbohydrate metabolism_ Amino sugar and nucleotide sugar metabolism"	9.38779792585978	19
"36"	"K00076"	0	NA	NA	NA	NA	NA	"K00076"	"Metabolism"	"Lipid metabolism"	" Secondary bile acid biosynthesis"	0	"K00076_Metabolism_Lipid metabolism_ Secondary bile acid biosynthesis"	NA	19
"37"	"K00077"	0	NA	NA	NA	NA	NA	"K00077"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Pantothenate and CoA biosynthesis"	0	"K00077_Metabolism_Metabolism of cofactors and vitamins_ Pantothenate and CoA biosynthesis"	NA	19
"38"	"K00086"	0	NA	NA	NA	NA	NA	"K00086"	"Metabolism"	"Carbohydrate metabolism"	" Propanoate metabolism"	0	"K00086_Metabolism_Carbohydrate metabolism_ Propanoate metabolism"	NA	19
"39"	"K00088"	14.7917375899864	6.82548998050052	0.763479334298799	8.93998000190698	3.89240804344585e-19	1.00363074914486e-17	"K00088"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	16.7894736842105	"K00088_Metabolism_Nucleotide metabolism_ Purine metabolism"	16.9984260412799	19
"41"	"K00096"	0	NA	NA	NA	NA	NA	"K00096"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"	0	"K00096_Metabolism_Lipid metabolism_ Glycerophospholipid metabolism"	NA	19
"42"	"K00097"	0.653940036208839	2.32478862780907	4.00791048123505	0.580050038216592	0.561880874520678	NA	"K00097"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Vitamin B metabolism"	0.684210526315789	"K00097_Metabolism_Metabolism of cofactors and vitamins_ Vitamin B metabolism"	NA	19
"43"	"K00099"	4.60634405625617	5.14206925567759	3.05420647908401	1.68360236640574	0.0922585410995196	0.105438919305406	"K00099"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Terpenoid backbone biosynthesis"	4.89473684210526	"K00099_Metabolism_Metabolism of terpenoids and polyketides_ Terpenoid backbone biosynthesis"	0.976999054021916	19
"44"	"K00100"	0.879746913505736	2.75312513937419	3.53047761891483	0.779816624420472	0.435498819601274	NA	"K00100"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"	0.947368421052632	"K00100_Metabolism_Carbohydrate metabolism_ Butanoate metabolism"	NA	19
"45"	"K00101"	0	NA	NA	NA	NA	NA	"K00101"	"Metabolism"	"Carbohydrate metabolism"	" Pyruvate metabolism"	0	"K00101_Metabolism_Carbohydrate metabolism_ Pyruvate metabolism"	NA	19
"46"	"K00104"	0	NA	NA	NA	NA	NA	"K00104"	"Metabolism"	"Carbohydrate metabolism"	" Glyoxylate and dicarboxylate metabolism"	0	"K00104_Metabolism_Carbohydrate metabolism_ Glyoxylate and dicarboxylate metabolism"	NA	19
"47"	"K00105"	2.13251035649337	4.03160300591083	3.20344643957527	1.25852049720718	0.208203579109038	NA	"K00105"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"	2.52631578947368	"K00105_Metabolism_Lipid metabolism_ Glycerophospholipid metabolism"	NA	19
"48"	"K00108"	0	NA	NA	NA	NA	NA	"K00108"	"Metabolism"	"Amino acid metabolism"	" Glycine, serine and threonine metabolism"	0	"K00108_Metabolism_Amino acid metabolism_ Glycine, serine and threonine metabolism"	NA	19
"49"	"K00111"	1.42212035362534	3.44628568733825	3.40752928332986	1.01137375523022	0.31183757749386	NA	"K00111"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"	1.52631578947368	"K00111_Metabolism_Lipid metabolism_ Glycerophospholipid metabolism"	NA	19
"50"	"K00112"	0.866754960787645	2.73196817591205	3.55732030603054	0.767984870881794	0.442496173194136	NA	"K00112"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"	0.947368421052632	"K00112_Metabolism_Lipid metabolism_ Glycerophospholipid metabolism"	NA	19
"51"	"K00113"	1.87006055543244	3.84133006506474	3.28080485474193	1.17084990883035	0.241659112547671	NA	"K00113"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"	2	"K00113_Metabolism_Lipid metabolism_ Glycerophospholipid metabolism"	NA	19
"52"	"K00116"	0.91597131528044	2.81151492193785	3.51024795249693	0.800944822128004	0.423163590100923	NA	"K00116"	"Metabolism"	"Overview"	" Carbon metabolism"	1	"K00116_Metabolism_Overview_ Carbon metabolism"	NA	19
"53"	"K00121"	0.0536416283225265	-1.3760200689053	4.1594189582294	-0.33082026185	0.740780255101384	NA	"K00121"	"Metabolism"	"Overview"	" Carbon metabolism"	0.0526315789473684	"K00121_Metabolism_Overview_ Carbon metabolism"	NA	19
"54"	"K00123"	0.279448505619423	1.09896822207132	4.03288870690614	0.272501500026368	0.785236438046339	NA	"K00123"	"Metabolism"	"Overview"	" Carbon metabolism"	0.315789473684211	"K00123_Metabolism_Overview_ Carbon metabolism"	NA	19
"55"	"K00124"	1.31277319851934	3.33023418588505	3.81308715217353	0.873369543622091	0.382461686051355	NA	"K00124"	"Metabolism"	"Overview"	" Carbon metabolism"	1.31578947368421	"K00124_Metabolism_Overview_ Carbon metabolism"	NA	19
"56"	"K00127"	1.7107453247906	3.71271407742549	3.71490480271933	0.999410287635841	0.317595978266838	NA	"K00127"	"Metabolism"	"Overview"	" Carbon metabolism"	1.78947368421053	"K00127_Metabolism_Overview_ Carbon metabolism"	NA	19
"57"	"K00128"	0	NA	NA	NA	NA	NA	"K00128"	"Metabolism"	"Carbohydrate metabolism"	" Glycolysis / Gluconeogenesis"	0	"K00128_Metabolism_Carbohydrate metabolism_ Glycolysis / Gluconeogenesis"	NA	19
"58"	"K00130"	0	NA	NA	NA	NA	NA	"K00130"	"Metabolism"	"Amino acid metabolism"	" Glycine, serine and threonine metabolism"	0	"K00130_Metabolism_Amino acid metabolism_ Glycine, serine and threonine metabolism"	NA	19
"59"	"K00131"	0.723885530003915	2.47382980410839	3.99316524437428	0.619516011162726	0.535576477463203	NA	"K00131"	"Metabolism"	"Overview"	" Carbon metabolism"	0.894736842105263	"K00131_Metabolism_Overview_ Carbon metabolism"	NA	19
"60"	"K00133"	12.3336650694751	5.45093389705325	2.71094253202176	2.01071539977945	0.0443555264701792	0.07301715403978	"K00133"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"	13.6315789473684	"K00133_Metabolism_Overview_ -Oxocarboxylic acid metabolism"	1.13657509837761	19
"61"	"K00134"	12.5582273221359	6.58931430640782	2.98793604740037	2.2053063391838	0.0274326053142032	0.0516838628638314	"K00134"	"Metabolism"	"Overview"	" Carbon metabolism"	14.9473684210526	"K00134_Metabolism_Overview_ Carbon metabolism"	1.28664503453016	19
"62"	"K00135"	0.634381139938927	2.28130799776045	3.6633874095256	0.622731844256645	0.533460752835859	NA	"K00135"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"	0.684210526315789	"K00135_Metabolism_Carbohydrate metabolism_ Butanoate metabolism"	NA	19
"63"	"K00138"	0	NA	NA	NA	NA	NA	"K00138"	"Metabolism"	"Carbohydrate metabolism"	" Glycolysis / Gluconeogenesis"	0	"K00138_Metabolism_Carbohydrate metabolism_ Glycolysis / Gluconeogenesis"	NA	19
"64"	"K00140"	0.0536416283225265	-1.3760200689053	4.1594189582294	-0.33082026185	0.740780255101384	NA	"K00140"	"Metabolism"	"Overview"	" Carbon metabolism"	0.0526315789473684	"K00140_Metabolism_Overview_ Carbon metabolism"	NA	19
"65"	"K00145"	0.285263728128213	1.13385433662319	4.03184954532246	0.28122436709937	0.778538316273458	NA	"K00145"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"	0.368421052631579	"K00145_Metabolism_Overview_ -Oxocarboxylic acid metabolism"	NA	19
"66"	"K00147"	4.98478572723608	5.25588668074516	1.50074598955077	3.50218272601777	0.000461463021650923	0.00126678630043231	"K00147"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"	5.52631578947368	"K00147_Metabolism_Overview_ Biosynthesis of amino acids"	2.8972966419206	19
"68"	"K00156"	1.70398711657064	3.70814934752526	3.307347383015	1.12118532409646	0.26220898535152	NA	"K00156"	"Metabolism"	"Carbohydrate metabolism"	" Pyruvate metabolism"	2.05263157894737	"K00156_Metabolism_Carbohydrate metabolism_ Pyruvate metabolism"	NA	19
"69"	"K00158"	4.34892958618963	5.05978496788741	1.81592230022695	2.78634441972272	0.00533061998961955	0.0126379052863947	"K00158"	"Metabolism"	"Carbohydrate metabolism"	" Pyruvate metabolism"	5.10526315789474	"K00158_Metabolism_Carbohydrate metabolism_ Pyruvate metabolism"	1.89832490373942	19
"70"	"K00161"	0.873321904339467	2.74290819537044	3.97914317439542	0.689321312442394	0.490621088972555	NA	"K00161"	"Metabolism"	"Overview"	" Carbon metabolism"	0.947368421052632	"K00161_Metabolism_Overview_ Carbon metabolism"	NA	19
"71"	"K00162"	4.85794357432111	5.21882523938722	1.55357143024546	3.35924382862954	0.000781560751434383	0.00209331541803101	"K00162"	"Metabolism"	"Overview"	" Carbon metabolism"	5.42105263157895	"K00162_Metabolism_Overview_ Carbon metabolism"	2.67916532780583	19
"72"	"K00163"	0	NA	NA	NA	NA	NA	"K00163"	"Metabolism"	"Overview"	" Carbon metabolism"	0	"K00163_Metabolism_Overview_ Carbon metabolism"	NA	19
"73"	"K00164"	0	NA	NA	NA	NA	NA	"K00164"	"Metabolism"	"Overview"	" Carbon metabolism"	0	"K00164_Metabolism_Overview_ Carbon metabolism"	NA	19
"74"	"K00169"	0	NA	NA	NA	NA	NA	"K00169"	"Metabolism"	"Overview"	" Carbon metabolism"	0	"K00169_Metabolism_Overview_ Carbon metabolism"	NA	19
"75"	"K00170"	0	NA	NA	NA	NA	NA	"K00170"	"Metabolism"	"Overview"	" Carbon metabolism"	0	"K00170_Metabolism_Overview_ Carbon metabolism"	NA	19
"76"	"K00174"	8.80180207529131	6.07648904642378	0.890671256631214	6.82237020806856	8.95505273825955e-12	4.8760754195688e-11	"K00174"	"Metabolism"	"Overview"	" Carbon metabolism"	10	"K00174_Metabolism_Overview_ Carbon metabolism"	10.3119295856523	19
"77"	"K00175"	9.35948679438252	6.16510493785292	2.98861854636872	2.06286109859813	0.0391258270562409	0.0671987774917413	"K00175"	"Metabolism"	"Overview"	" Carbon metabolism"	10.5263157894737	"K00175_Metabolism_Overview_ Carbon metabolism"	1.17263862774112	19
"78"	"K00176"	7.47114352744504	5.83987279434269	3.07790476811917	1.89735330827383	0.057781323669656	0.0855923643596847	"K00176"	"Metabolism"	"Overview"	" Carbon metabolism"	7.94736842105263	"K00176_Metabolism_Overview_ Carbon metabolism"	1.06756497672898	19
"79"	"K00177"	3.83082418494077	4.87680012507013	2.17052101502818	2.24683386675564	0.0246506464938077	0.0467984495696618	"K00177"	"Metabolism"	"Overview"	" Carbon metabolism"	4.52631578947368	"K00177_Metabolism_Overview_ Carbon metabolism"	1.32976853484242	19
"84"	"K00198"	3.5145057687433	4.75260199823186	2.38148777958309	1.99564408391122	0.0459726774510014	0.0749324397268789	"K00198"	"Metabolism"	"Overview"	" Carbon metabolism"	4.26315789473684	"K00198_Metabolism_Overview_ Carbon metabolism"	1.12533012696854	19
"85"	"K00208"	2.66124633509154	4.35123742437664	2.9618237777478	1.46910746583491	0.141803643091924	NA	"K00208"	"Metabolism"	"Overview"	" Fatty acid metabolism"	3.21052631578947	"K00208_Metabolism_Overview_ Fatty acid metabolism"	NA	19
"86"	"K00209"	0	NA	NA	NA	NA	NA	"K00209"	"Metabolism"	"Overview"	" Carbon metabolism"	0	"K00209_Metabolism_Overview_ Carbon metabolism"	NA	19
"87"	"K00215"	7.68899378301824	5.88235593434991	0.969822362279314	6.06539523436536	1.31629550559656e-09	5.95638742486845e-09	"K00215"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"	8.94736842105263	"K00215_Metabolism_Overview_ Biosynthesis of amino acids"	8.2250170619255	19
"88"	"K00216"	1.14367171567419	3.13163008131842	3.47504648230601	0.90117645829022	0.367494505773323	NA	"K00216"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Biosynthesis of siderophore group nonribosomal peptides"	1.21052631578947	"K00216_Metabolism_Metabolism of terpenoids and polyketides_ Biosynthesis of siderophore group nonribosomal peptides"	NA	19
"89"	"K00226"	4.33304424270642	5.05428589091698	2.99026172684492	1.69024866470463	0.0909803917003674	0.10508341279145	"K00226"	"Metabolism"	"Nucleotide metabolism"	" Pyrimidine metabolism"	5.15789473684211	"K00226_Metabolism_Nucleotide metabolism_ Pyrimidine metabolism"	0.978465831085564	19
"90"	"K00228"	0	NA	NA	NA	NA	NA	"K00228"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Porphyrin and chlorophyll metabolism"	0	"K00228_Metabolism_Metabolism of cofactors and vitamins_ Porphyrin and chlorophyll metabolism"	NA	19
"91"	"K00230"	0.107283256645053	-0.294847559993091	4.10302633496305	-0.0718609962311505	0.942712530263228	NA	"K00230"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Porphyrin and chlorophyll metabolism"	0.105263157894737	"K00230_Metabolism_Metabolism of cofactors and vitamins_ Porphyrin and chlorophyll metabolism"	NA	19
"92"	"K00231"	2.96554422526065	4.50692380941103	2.77401407369591	1.62469392356265	0.104227792758013	0.110944943741344	"K00231"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Porphyrin and chlorophyll metabolism"	3.31578947368421	"K00231_Metabolism_Metabolism of cofactors and vitamins_ Porphyrin and chlorophyll metabolism"	0.954892485728244	19
"93"	"K00239"	10.0743516718701	6.27139919111714	3.00689219329267	2.08567477247985	0.0370080931227612	0.064229457591342	"K00239"	"Metabolism"	"Overview"	" Carbon metabolism"	12.0526315789474	"K00239_Metabolism_Overview_ Carbon metabolism"	1.19226574552571	19
"94"	"K00240"	11.9215983002352	6.51426730529905	3.00515101388677	2.16770048333568	0.0301814826816692	0.0550825954650721	"K00240"	"Metabolism"	"Overview"	" Carbon metabolism"	14.2105263157895	"K00240_Metabolism_Overview_ Carbon metabolism"	1.2589856041885	19
"95"	"K00241"	5.65861812927571	5.4393029373591	2.98984497309445	1.81925918778641	0.0688718967034152	0.0941094544055723	"K00241"	"Metabolism"	"Overview"	" Carbon metabolism"	6.73684210526316	"K00241_Metabolism_Overview_ Carbon metabolism"	1.02636674437386	19
"96"	"K00242"	0.637664611714838	2.28886297737528	4.00838242157884	0.571019113608859	0.567986686528845	NA	"K00242"	"Metabolism"	"Overview"	" Carbon metabolism"	0.684210526315789	"K00242_Metabolism_Overview_ Carbon metabolism"	NA	19
"98"	"K00244"	0.556755341516756	2.09378329674052	3.67072445167293	0.570400563786879	0.568406047274696	NA	"K00244"	"Metabolism"	"Overview"	" Carbon metabolism"	0.631578947368421	"K00244_Metabolism_Overview_ Carbon metabolism"	NA	19
"99"	"K00245"	1.01087240586488	2.95313433067798	3.52809212800464	0.837034358382294	0.40257325547635	NA	"K00245"	"Metabolism"	"Overview"	" Carbon metabolism"	1.05263157894737	"K00245_Metabolism_Overview_ Carbon metabolism"	NA	19
"100"	"K00246"	0.590057911547791	2.17514419392027	4.00995575543261	0.542435958544787	0.587518213794137	NA	"K00246"	"Metabolism"	"Overview"	" Carbon metabolism"	0.578947368421053	"K00246_Metabolism_Overview_ Carbon metabolism"	NA	19
"101"	"K00248"	0.93884212430481	2.84867196838862	3.90616270054311	0.729276322256763	0.46583265293625	NA	"K00248"	"Metabolism"	"Overview"	" Carbon metabolism"	1.15789473684211	"K00248_Metabolism_Overview_ Carbon metabolism"	NA	19
"102"	"K00252"	0.0482164868245259	-1.37602006890531	4.1594189582294	-0.33082026185	0.740780255101383	NA	"K00252"	"Metabolism"	"Lipid metabolism"	" Fatty acid degradation"	0.0526315789473684	"K00252_Metabolism_Lipid metabolism_ Fatty acid degradation"	NA	19
"103"	"K00254"	1.07071933770699	3.03719309335186	3.45690060983928	0.878588491872513	0.379624437789612	NA	"K00254"	"Metabolism"	"Nucleotide metabolism"	" Pyrimidine metabolism"	1.21052631578947	"K00254_Metabolism_Nucleotide metabolism_ Pyrimidine metabolism"	NA	19
"104"	"K00257"	0	NA	NA	NA	NA	NA	"K00257"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Geraniol degradation"	0	"K00257_Metabolism_Metabolism of terpenoids and polyketides_ Geraniol degradation"	NA	19
"105"	"K00259"	2.08908078353082	4.00160395669205	3.21903882225573	1.2431052179383	0.213829063241386	NA	"K00259"	"Metabolism"	"Amino acid metabolism"	" Alanine, aspartate and glutamate metabolism"	2.36842105263158	"K00259_Metabolism_Amino acid metabolism_ Alanine, aspartate and glutamate metabolism"	NA	19
"106"	"K00260"	0.395078735506145	1.60322297581374	4.02003843101059	0.398807872941331	0.69003477555223	NA	"K00260"	"Metabolism"	"Energy metabolism"	" Nitrogen metabolism"	0.526315789473684	"K00260_Metabolism_Energy metabolism_ Nitrogen metabolism"	NA	19
"107"	"K00262"	7.51810471880874	5.84894857707049	2.97406416428822	1.96665177816374	0.0492233697679673	0.0777685343803221	"K00262"	"Metabolism"	"Energy metabolism"	" Nitrogen metabolism"	8.1578947368421	"K00262_Metabolism_Energy metabolism_ Nitrogen metabolism"	1.10919608564738	19
"108"	"K00265"	0	NA	NA	NA	NA	NA	"K00265"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"	0	"K00265_Metabolism_Overview_ Biosynthesis of amino acids"	NA	19
"109"	"K00266"	4.62623642208697	5.14899824554623	1.66707208635658	3.08864762818952	0.0020106976745215	0.00513557060683198	"K00266"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"	5.42105263157895	"K00266_Metabolism_Overview_ Biosynthesis of amino acids"	2.28941129546866	19
"110"	"K00275"	0.214566513290106	0.711498015334473	4.04626402827247	0.175840728722353	0.860419071240355	NA	"K00275"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Vitamin B metabolism"	0.210526315789474	"K00275_Metabolism_Metabolism of cofactors and vitamins_ Vitamin B metabolism"	NA	19
