""	"Gene.symbol"	"baseMean"	"logFC"	"lfcSE"	"stat"	"pvalue"	"adj.P.Val"	"KO_Number"	"KO_Class"	"KO_Subclass_1"	"KO_Subclass_2"	"abundance"	"path"
"15"	"K00019"	0.155364835603032	0.956423404972564	4.60537132764934	0.207675632848642	0.835482245029789	1	"K00019"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"	0.411764705882353	"K00019_Metabolism_Carbohydrate metabolism_ Butanoate metabolism"
"16"	"K00020"	8.09763564250695	-0.335954696982999	3.32452742112079	-0.101053369224351	0.919508094450284	1	"K00020"	"Metabolism"	"Amino acid metabolism"	" Valine, leucine and isoleucine degradation"	3.52941176470588	"K00020_Metabolism_Amino acid metabolism_ Valine, leucine and isoleucine degradation"
"17"	"K00021"	0.722114729293767	-3.08800943742015	4.46040244715924	-0.692316326610138	0.488738699260121	1	"K00021"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Terpenoid backbone biosynthesis"	0.352941176470588	"K00021_Metabolism_Metabolism of terpenoids and polyketides_ Terpenoid backbone biosynthesis"
"18"	"K00023"	1.44516177228255	-3.68528959686602	4.63571135742793	-0.794978227227408	0.426626167439654	1	"K00023"	"Metabolism"	"Overview"	" Carbon metabolism"	0.647058823529412	"K00023_Metabolism_Overview_ Carbon metabolism"
"19"	"K00024"	9.38900708844095	4.30978667930884	2.46669985097829	1.74718731085162	0.0806048520824172	1	"K00024"	"Metabolism"	"Overview"	" Carbon metabolism"	12	"K00024_Metabolism_Overview_ Carbon metabolism"
"20"	"K00026"	5.06215499476386	-5.21614069486158	4.37593844191841	-1.19200504396831	0.233259267506061	1	"K00026"	"Metabolism"	"Overview"	" Carbon metabolism"	4.88235294117647	"K00026_Metabolism_Overview_ Carbon metabolism"
"21"	"K00027"	34.7281984788407	1.82695827528255	2.5653327032257	0.712172059782069	0.476358236354091	1	"K00027"	"Metabolism"	"Overview"	" Carbon metabolism"	27.1176470588235	"K00027_Metabolism_Overview_ Carbon metabolism"
"22"	"K00029"	3.96909056597549	-2.45826343288762	3.45138520330988	-0.712254149589023	0.476307410826058	1	"K00029"	"Metabolism"	"Overview"	" Carbon metabolism"	1.35294117647059	"K00029_Metabolism_Overview_ Carbon metabolism"
"23"	"K00030"	1.00504519801044	-1.15453126169759	4.33671005458688	-0.266222838779931	0.790067594716657	1	"K00030"	"Metabolism"	"Overview"	" Carbon metabolism"	0.705882352941177	"K00030_Metabolism_Overview_ Carbon metabolism"
"24"	"K00031"	40.0957316809215	3.09495298128303	2.37082334633755	1.30543382157263	0.191745167992275	1	"K00031"	"Metabolism"	"Overview"	" Carbon metabolism"	42.4705882352941	"K00031_Metabolism_Overview_ Carbon metabolism"
"25"	"K00033"	3.42825773103938	4.80221480161198	3.88005981910864	1.23766514576963	0.215840247916079	1	"K00033"	"Metabolism"	"Overview"	" Carbon metabolism"	11.1764705882353	"K00033_Metabolism_Overview_ Carbon metabolism"
"26"	"K00034"	0	NA	NA	NA	NA	NA	"K00034"	"Metabolism"	"Overview"	" Carbon metabolism"	0	"K00034_Metabolism_Overview_ Carbon metabolism"
"27"	"K00036"	37.4302235955638	3.63666873912904	1.79772530549409	2.02292793454868	0.0430805780078547	1	"K00036"	"Metabolism"	"Overview"	" Carbon metabolism"	52.1764705882353	"K00036_Metabolism_Overview_ Carbon metabolism"
"28"	"K00038"	0	NA	NA	NA	NA	NA	"K00038"	"Metabolism"	"Lipid metabolism"	" Steroid hormone biosynthesis"	0	"K00038_Metabolism_Lipid metabolism_ Steroid hormone biosynthesis"
"29"	"K00040"	9.13324072662693	-5.91926002231311	4.09351413055509	-1.44600942699334	0.148174557741186	1	"K00040"	"Metabolism"	"Carbohydrate metabolism"	" Pentose and glucuronate interconversions"	1.05882352941176	"K00040_Metabolism_Carbohydrate metabolism_ Pentose and glucuronate interconversions"
"30"	"K00041"	2.44481685226669	-4.23780295807017	4.14864227901495	-1.021491532183	0.307021618949291	1	"K00041"	"Metabolism"	"Carbohydrate metabolism"	" Pentose and glucuronate interconversions"	0.647058823529412	"K00041_Metabolism_Carbohydrate metabolism_ Pentose and glucuronate interconversions"
"31"	"K00042"	0.81300794889813	-3.08067441488416	4.38236379889552	-0.702970943594546	0.482073857465988	1	"K00042"	"Metabolism"	"Carbohydrate metabolism"	" Glyoxylate and dicarboxylate metabolism"	0.294117647058824	"K00042_Metabolism_Carbohydrate metabolism_ Glyoxylate and dicarboxylate metabolism"
"32"	"K00046"	2.5339637655152	-4.26413271011096	4.46893657429858	-0.954171678030636	0.339996748330483	1	"K00046"	NA	NA	NA	0.647058823529412	"K00046_NA_NA_NA"
"33"	"K00048"	0.102435231259406	-2.3336443225581	4.73374986658587	-0.492980066190358	0.622026672283503	1	"K00048"	"Metabolism"	"Carbohydrate metabolism"	" Glyoxylate and dicarboxylate metabolism"	0.0588235294117647	"K00048_Metabolism_Carbohydrate metabolism_ Glyoxylate and dicarboxylate metabolism"
"34"	"K00050"	0	NA	NA	NA	NA	NA	"K00050"	"Metabolism"	"Carbohydrate metabolism"	" Glyoxylate and dicarboxylate metabolism"	0	"K00050_Metabolism_Carbohydrate metabolism_ Glyoxylate and dicarboxylate metabolism"
"35"	"K00052"	98.4165843751936	4.12402383862684	2.69409868764118	1.5307619789673	0.125828229561355	1	"K00052"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"	154.529411764706	"K00052_Metabolism_Overview_ -Oxocarboxylic acid metabolism"
"36"	"K00053"	254.504052063453	4.74122097198135	2.23370891856893	2.12257780437163	0.0337892465222632	1	"K00053"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"	419	"K00053_Metabolism_Overview_ -Oxocarboxylic acid metabolism"
"37"	"K00054"	0.776824178015158	3.24150488904157	4.5289613763422	0.715728092973838	0.474159260601654	1	"K00054"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Terpenoid backbone biosynthesis"	2.05882352941176	"K00054_Metabolism_Metabolism of terpenoids and polyketides_ Terpenoid backbone biosynthesis"
"38"	"K00055"	0.0443899530294376	-0.358775563246613	4.65848307521546	-0.0770155343389371	0.938611187056702	1	"K00055"	"Metabolism"	"Overview"	" Degradation of aromatic compounds"	0.117647058823529	"K00055_Metabolism_Overview_ Degradation of aromatic compounds"
"39"	"K00057"	116.973596940823	4.12796065165778	3.35295041647249	1.23114276649538	0.218269472830012	1	"K00057"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"	171.411764705882	"K00057_Metabolism_Lipid metabolism_ Glycerophospholipid metabolism"
"40"	"K00058"	17.6713504793924	3.72449242133284	1.78479403507429	2.08679116365257	0.0369070162425359	1	"K00058"	"Metabolism"	"Overview"	" Carbon metabolism"	28.7058823529412	"K00058_Metabolism_Overview_ Carbon metabolism"
"41"	"K00059"	32.772949419442	4.77452518226178	1.89177616526549	2.52383197860605	0.0116083396783433	1	"K00059"	"Metabolism"	"Overview"	" Fatty acid metabolism"	56.0588235294118	"K00059_Metabolism_Overview_ Fatty acid metabolism"
"42"	"K00060"	11.8257156761633	2.81192209324775	2.35451836585808	1.1942663663288	0.232373789721787	1	"K00060"	"Metabolism"	"Amino acid metabolism"	" Glycine, serine and threonine metabolism"	9.52941176470588	"K00060_Metabolism_Amino acid metabolism_ Glycine, serine and threonine metabolism"
"43"	"K00062"	0.204870462518811	-2.51509223237734	4.73365207189009	-0.531321735138233	0.595195846144467	1	"K00062"	NA	NA	NA	0.117647058823529	"K00062_NA_NA_NA"
"44"	"K00063"	0.639426168253881	-3.04954896512342	4.73203474014517	-0.644447712788741	0.519285153293855	1	"K00063"	NA	NA	NA	0.352941176470588	"K00063_NA_NA_NA"
"45"	"K00064"	0.106571028042313	-2.3336443225581	4.73374986658587	-0.492980066190358	0.622026672283503	1	"K00064"	"Metabolism"	"Carbohydrate metabolism"	" Fructose and mannose metabolism"	0.0588235294117647	"K00064_Metabolism_Carbohydrate metabolism_ Fructose and mannose metabolism"
"46"	"K00065"	0.804669420330976	-2.98834932007018	4.73222474736244	-0.631489305687727	0.527720639564222	1	"K00065"	"Metabolism"	"Carbohydrate metabolism"	" Pentose and glucuronate interconversions"	3.29411764705882	"K00065_Metabolism_Carbohydrate metabolism_ Pentose and glucuronate interconversions"
"47"	"K00067"	16.1819967509303	2.04467758523622	4.48691317419835	0.455698050275183	0.648607124230328	1	"K00067"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Polyketide sugar unit biosynthesis"	13.6470588235294	"K00067_Metabolism_Metabolism of terpenoids and polyketides_ Polyketide sugar unit biosynthesis"
"48"	"K00068"	1.41945794478974	-2.3919263074691	3.89507213949201	-0.614090374146716	0.539155608747817	1	"K00068"	"Metabolism"	"Carbohydrate metabolism"	" Fructose and mannose metabolism"	0.470588235294118	"K00068_Metabolism_Carbohydrate metabolism_ Fructose and mannose metabolism"
"49"	"K00073"	0.409740925037623	-2.80179329711056	4.73284896092995	-0.591988740870371	0.553858127920068	1	"K00073"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	0.235294117647059	"K00073_Metabolism_Nucleotide metabolism_ Purine metabolism"
"50"	"K00074"	25.2197282211667	4.24769923758075	4.48736297390362	0.946591408424805	0.343847023598287	1	"K00074"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"	37.8823529411765	"K00074_Metabolism_Carbohydrate metabolism_ Butanoate metabolism"
"51"	"K00075"	50.9081243541621	5.49391729575729	2.23104405874713	2.46248713655726	0.0137977122173941	1	"K00075"	"Metabolism"	"Carbohydrate metabolism"	" Amino sugar and nucleotide sugar metabolism"	96.6470588235294	"K00075_Metabolism_Carbohydrate metabolism_ Amino sugar and nucleotide sugar metabolism"
"52"	"K00076"	0.512176156297029	-2.92128653037374	4.73244116724434	-0.617289560955025	0.537043751083892	1	"K00076"	"Metabolism"	"Lipid metabolism"	" Secondary bile acid biosynthesis"	0.294117647058824	"K00076_Metabolism_Lipid metabolism_ Secondary bile acid biosynthesis"
"53"	"K00077"	33.7336373799179	4.22124084395667	2.06929017591001	2.03994630289119	0.041355674266537	1	"K00077"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Pantothenate and CoA biosynthesis"	40.5294117647059	"K00077_Metabolism_Metabolism of cofactors and vitamins_ Pantothenate and CoA biosynthesis"
"54"	"K00083"	0.819481850075246	-3.20952576384953	4.73157021083247	-0.678321491774895	0.497567874774333	1	"K00083"	"Metabolism"	"Biosynthesis of other secondary metabolites"	" Phenylpropanoid biosynthesis"	0.470588235294118	"K00083_Metabolism_Biosynthesis of other secondary metabolites_ Phenylpropanoid biosynthesis"
"55"	"K00086"	0.577069389382689	2.81608282880096	4.53588950885237	0.620844670776263	0.53470182845002	1	"K00086"	"Metabolism"	"Carbohydrate metabolism"	" Propanoate metabolism"	1.52941176470588	"K00086_Metabolism_Carbohydrate metabolism_ Propanoate metabolism"
"56"	"K00087"	0.790124730592062	-2.98663580497982	4.37114623624136	-0.683261470462254	0.494441636044088	1	"K00087"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	0.235294117647059	"K00087_Metabolism_Nucleotide metabolism_ Purine metabolism"
"57"	"K00088"	123.315970898018	3.15051524666035	2.09379787337306	1.50468929533534	0.132403976491745	1	"K00088"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	140.117647058824	"K00088_Metabolism_Nucleotide metabolism_ Purine metabolism"
"58"	"K00090"	8.33551542360268	-2.26366347370061	2.98226681747778	-0.759041230125439	0.447827893354946	1	"K00090"	"Metabolism"	"Carbohydrate metabolism"	" Pentose phosphate pathway"	1.82352941176471	"K00090_Metabolism_Carbohydrate metabolism_ Pentose phosphate pathway"
"59"	"K00091"	0	NA	NA	NA	NA	NA	"K00091"	NA	NA	NA	0	"K00091_NA_NA_NA"
"60"	"K00094"	1.80323385087524	-3.90250474412239	4.58042073587311	-0.851997004021618	0.394215754897441	1	"K00094"	"Metabolism"	"Carbohydrate metabolism"	" Galactose metabolism"	0.529411764705882	"K00094_Metabolism_Carbohydrate metabolism_ Galactose metabolism"
"61"	"K00096"	2.52581580305384	0.721565722312307	3.04392037809182	0.237051444415456	0.812616880535169	1	"K00096"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"	0.941176470588235	"K00096_Metabolism_Lipid metabolism_ Glycerophospholipid metabolism"
"62"	"K00097"	11.8943098790743	-3.69683037884065	3.26717313668237	-1.13150733805144	0.257841616637066	1	"K00097"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Vitamin B metabolism"	2.94117647058824	"K00097_Metabolism_Metabolism of cofactors and vitamins_ Vitamin B metabolism"
"63"	"K00098"	0.639426168253881	-3.04954896512342	4.73203474014517	-0.644447712788741	0.519285153293855	1	"K00098"	NA	NA	NA	0.352941176470588	"K00098_NA_NA_NA"
"64"	"K00099"	7.26728641808898	3.05670773776643	2.95339600498991	1.03498065704767	0.300677944646578	1	"K00099"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Terpenoid backbone biosynthesis"	11	"K00099_Metabolism_Metabolism of terpenoids and polyketides_ Terpenoid backbone biosynthesis"
"65"	"K00100"	1.06519271752605	1.33744401291883	4.12059021621678	0.324575835678893	0.745502118194185	1	"K00100"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"	1.17647058823529	"K00100_Metabolism_Carbohydrate metabolism_ Butanoate metabolism"
"66"	"K00101"	8.64489266974866	1.41433560302136	2.62075987710926	0.539666230155125	0.589427232873371	1	"K00101"	"Metabolism"	"Carbohydrate metabolism"	" Pyruvate metabolism"	3.35294117647059	"K00101_Metabolism_Carbohydrate metabolism_ Pyruvate metabolism"
"67"	"K00102"	2.17140176350927	-4.07026286743449	3.78740721795501	-1.07468318910587	0.282516592701446	1	"K00102"	"Metabolism"	"Carbohydrate metabolism"	" Pyruvate metabolism"	0.882352941176471	"K00102_Metabolism_Carbohydrate metabolism_ Pyruvate metabolism"
"68"	"K00104"	2.26382024146514	-4.0570488476056	3.85448738771721	-1.05255211381256	0.292546313998885	1	"K00104"	"Metabolism"	"Carbohydrate metabolism"	" Glyoxylate and dicarboxylate metabolism"	0.470588235294118	"K00104_Metabolism_Carbohydrate metabolism_ Glyoxylate and dicarboxylate metabolism"
"69"	"K00105"	3.16575127357048	5.26026394452038	3.7752136791301	1.39336853264753	0.163508376261561	1	"K00105"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"	6.88235294117647	"K00105_Metabolism_Lipid metabolism_ Glycerophospholipid metabolism"
"70"	"K00107"	0.618651540077794	-0.254954301130765	4.04922005530286	-0.0629638047941792	0.949795326696681	1	"K00107"	NA	NA	NA	0.235294117647059	"K00107_NA_NA_NA"
"71"	"K00108"	1.63028133465023	-3.14372299575636	4.13729111143416	-0.759850566731479	0.447343912908162	1	"K00108"	"Metabolism"	"Amino acid metabolism"	" Glycine, serine and threonine metabolism"	0.294117647058824	"K00108_Metabolism_Amino acid metabolism_ Glycine, serine and threonine metabolism"
"72"	"K00111"	8.89712475694553	-0.270337643936798	2.63401389346296	-0.102633340168674	0.918253980926842	1	"K00111"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"	5.64705882352941	"K00111_Metabolism_Lipid metabolism_ Glycerophospholipid metabolism"
"73"	"K00112"	0.69947599117236	1.91280405023109	4.23205904156289	0.451979528509766	0.651283730248791	1	"K00112"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"	1.17647058823529	"K00112_Metabolism_Lipid metabolism_ Glycerophospholipid metabolism"
"74"	"K00113"	1.68649850059955	1.81349376297011	4.04604423471077	0.448214022825618	0.65399874337102	1	"K00113"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"	2.29411764705882	"K00113_Metabolism_Lipid metabolism_ Glycerophospholipid metabolism"
"75"	"K00116"	25.6690430450885	-0.991679287760181	1.91273771817856	-0.51846067463161	0.604136890911392	1	"K00116"	"Metabolism"	"Overview"	" Carbon metabolism"	9.35294117647059	"K00116_Metabolism_Overview_ Carbon metabolism"
"76"	"K00117"	2.97911047340276	-4.43141092002466	4.14202039254611	-1.06986699727489	0.284679180141253	1	"K00117"	"Metabolism"	"Carbohydrate metabolism"	" Pentose phosphate pathway"	0.529411764705882	"K00117_Metabolism_Carbohydrate metabolism_ Pentose phosphate pathway"
"77"	"K00121"	1.82992797244605	-3.91811411342634	4.72541675326825	-0.829157367065338	0.407015365599587	1	"K00121"	"Metabolism"	"Overview"	" Carbon metabolism"	0.529411764705882	"K00121_Metabolism_Overview_ Carbon metabolism"
"78"	"K00123"	7.22784015810997	-0.252737073523068	2.69121703976523	-0.093911813796005	0.925179209262847	1	"K00123"	"Metabolism"	"Overview"	" Carbon metabolism"	2.58823529411765	"K00123_Metabolism_Overview_ Carbon metabolism"
"79"	"K00124"	15.1858631995207	1.24919090794237	2.10143263159658	0.594447278090136	0.552212994927131	1	"K00124"	"Metabolism"	"Overview"	" Carbon metabolism"	10.7058823529412	"K00124_Metabolism_Overview_ Carbon metabolism"
"80"	"K00127"	5.77069389382689	6.12619134858282	3.99685528501246	1.53275285486443	0.125336760766606	1	"K00127"	"Metabolism"	"Overview"	" Carbon metabolism"	15.2941176470588	"K00127_Metabolism_Overview_ Carbon metabolism"
"81"	"K00128"	45.545165414354	2.54977340823337	2.48773545346606	1.02493752086094	0.305392669105649	1	"K00128"	"Metabolism"	"Carbohydrate metabolism"	" Glycolysis / Gluconeogenesis"	53	"K00128_Metabolism_Carbohydrate metabolism_ Glycolysis / Gluconeogenesis"
"82"	"K00129"	0	NA	NA	NA	NA	NA	"K00129"	"Metabolism"	"Carbohydrate metabolism"	" Glycolysis / Gluconeogenesis"	0	"K00129_Metabolism_Carbohydrate metabolism_ Glycolysis / Gluconeogenesis"
"83"	"K00130"	2.61544335608103	-4.35865831550201	3.5136240798061	-1.24050217567457	0.214789709967908	1	"K00130"	"Metabolism"	"Amino acid metabolism"	" Glycine, serine and threonine metabolism"	2.23529411764706	"K00130_Metabolism_Amino acid metabolism_ Glycine, serine and threonine metabolism"
"84"	"K00131"	198.957502579397	4.87930525694151	3.1274258010517	1.56016659301739	0.118720517944329	1	"K00131"	"Metabolism"	"Overview"	" Carbon metabolism"	287.588235294118	"K00131_Metabolism_Overview_ Carbon metabolism"
"85"	"K00132"	0	NA	NA	NA	NA	NA	"K00132"	"Metabolism"	"Carbohydrate metabolism"	" Pyruvate metabolism"	0	"K00132_Metabolism_Carbohydrate metabolism_ Pyruvate metabolism"
"86"	"K00133"	97.4128741790025	5.13115253320731	2.01786088224956	2.54286733953977	0.0109946963724418	1	"K00133"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"	164.764705882353	"K00133_Metabolism_Overview_ -Oxocarboxylic acid metabolism"
"87"	"K00134"	1825.74918462625	4.39075917806478	1.95611945266323	2.2446273268674	0.0247920669507165	1	"K00134"	"Metabolism"	"Overview"	" Carbon metabolism"	2971.35294117647	"K00134_Metabolism_Overview_ Carbon metabolism"
"88"	"K00135"	5.60967160598375	1.1869561750176	2.05686722015367	0.577069906792004	0.563892232251568	1	"K00135"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"	4.35294117647059	"K00135_Metabolism_Carbohydrate metabolism_ Butanoate metabolism"
"89"	"K00137"	0	NA	NA	NA	NA	NA	"K00137"	"Metabolism"	"Amino acid metabolism"	" Arginine and proline metabolism"	0	"K00137_Metabolism_Amino acid metabolism_ Arginine and proline metabolism"
"90"	"K00138"	19.6538486905511	-3.2114924145526	2.57345946793501	-1.24792811177615	0.212057384692938	1	"K00138"	"Metabolism"	"Carbohydrate metabolism"	" Glycolysis / Gluconeogenesis"	4.52941176470588	"K00138_Metabolism_Carbohydrate metabolism_ Glycolysis / Gluconeogenesis"
"91"	"K00140"	1.21532888089978	-0.681266103294068	3.87559167078496	-0.175783767012814	0.860463823097915	1	"K00140"	"Metabolism"	"Overview"	" Carbon metabolism"	0.411764705882353	"K00140_Metabolism_Overview_ Carbon metabolism"
"92"	"K00141"	0	NA	NA	NA	NA	NA	"K00141"	"Metabolism"	"Overview"	" Degradation of aromatic compounds"	0	"K00141_Metabolism_Overview_ Degradation of aromatic compounds"
"93"	"K00143"	0	NA	NA	NA	NA	NA	"K00143"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"	0	"K00143_Metabolism_Overview_ Biosynthesis of amino acids"
"94"	"K00145"	1.99927628494233	1.90621199500239	3.0265491581037	0.629830178009315	0.528805698921427	1	"K00145"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"	2.29411764705882	"K00145_Metabolism_Overview_ -Oxocarboxylic acid metabolism"
"95"	"K00146"	0	NA	NA	NA	NA	NA	"K00146"	"Metabolism"	"Amino acid metabolism"	" Phenylalanine metabolism"	0	"K00146_Metabolism_Amino acid metabolism_ Phenylalanine metabolism"
"96"	"K00147"	71.9646989241666	4.85862928663143	2.70379929878116	1.7969637350012	0.0723413771819813	1	"K00147"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"	122.823529411765	"K00147_Metabolism_Overview_ Biosynthesis of amino acids"
"97"	"K00150"	0	NA	NA	NA	NA	NA	"K00150"	"Metabolism"	"Overview"	" Carbon metabolism"	0	"K00150_Metabolism_Overview_ Carbon metabolism"
"98"	"K00151"	2.03273736850727	-3.86847607322316	3.8339741484964	-1.00899899774762	0.312975114852685	1	"K00151"	"Metabolism"	"Overview"	" Degradation of aromatic compounds"	0.470588235294118	"K00151_Metabolism_Overview_ Degradation of aromatic compounds"
"99"	"K00153"	0.861538900056879	3.38244517303176	4.4644353557975	0.757642322816778	0.448665136232582	1	"K00153"	NA	NA	NA	1.52941176470588	"K00153_NA_NA_NA"
"100"	"K00154"	0.531049286865288	-2.53246379940378	4.73360620833677	-0.534996720881351	0.592652124770638	1	"K00154"	NA	NA	NA	0.117647058823529	"K00154_NA_NA_NA"
"101"	"K00156"	7.57923914346736	4.64832131116971	2.65807508592719	1.74875470440229	0.080333429514963	1	"K00156"	"Metabolism"	"Carbohydrate metabolism"	" Pyruvate metabolism"	14.0588235294118	"K00156_Metabolism_Carbohydrate metabolism_ Pyruvate metabolism"
"102"	"K00158"	319.270039880587	4.66299782752226	2.76740270018544	1.68497263777686	0.0919938507430825	1	"K00158"	"Metabolism"	"Carbohydrate metabolism"	" Pyruvate metabolism"	464.941176470588	"K00158_Metabolism_Carbohydrate metabolism_ Pyruvate metabolism"
"103"	"K00161"	295.639322161674	5.31928230699302	2.36796551301727	2.24635125712417	0.0246815178178161	1	"K00161"	"Metabolism"	"Overview"	" Carbon metabolism"	443.411764705882	"K00161_Metabolism_Overview_ Carbon metabolism"
"104"	"K00162"	380.395428344381	5.37378492866767	2.44333664190172	2.19936329546677	0.0278521003453863	1	"K00162"	"Metabolism"	"Overview"	" Carbon metabolism"	558.882352941176	"K00162_Metabolism_Overview_ Carbon metabolism"
"105"	"K00163"	15.072056221648	3.77572662944252	2.18313692051055	1.72949602655225	0.0837203570281752	1	"K00163"	"Metabolism"	"Overview"	" Carbon metabolism"	24	"K00163_Metabolism_Overview_ Carbon metabolism"
"106"	"K00164"	3.36091282675153	0.74210726724434	3.26156478289695	0.227531052314464	0.820010826093717	1	"K00164"	"Metabolism"	"Overview"	" Carbon metabolism"	3.11764705882353	"K00164_Metabolism_Overview_ Carbon metabolism"
"107"	"K00166"	0	NA	NA	NA	NA	NA	"K00166"	"Metabolism"	"Carbohydrate metabolism"	" Propanoate metabolism"	0	"K00166_Metabolism_Carbohydrate metabolism_ Propanoate metabolism"
"108"	"K00167"	10.627107501619	6.75334324418029	3.53760315341545	1.90901662829539	0.0562599466266743	1	"K00167"	"Metabolism"	"Carbohydrate metabolism"	" Propanoate metabolism"	27.0588235294118	"K00167_Metabolism_Carbohydrate metabolism_ Propanoate metabolism"
