""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gs"	"ko"
"K00014|g__Streptococcus.s__Streptococcus_sanguinis"	0.0536416283225265	-1.3760200689053	4.1594189582294	-0.33082026185	0.740780255101384	0.98373034632542	"g__Streptococcus.s__Streptococcus_sanguinis"	"K00014"
"K00014|g__Streptococcus.s__Streptococcus_tigurinus"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_tigurinus"	"K00014"
"K00016|g__Atopobium.s__Atopobium_parvulum"	0	NA	NA	NA	NA	NA	"g__Atopobium.s__Atopobium_parvulum"	"K00016"
"K00016|g__Rothia.s__Rothia_dentocariosa"	0	NA	NA	NA	NA	NA	"g__Rothia.s__Rothia_dentocariosa"	"K00016"
"K00016|g__Streptococcus.s__Streptococcus_cristatus"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_cristatus"	"K00016"
"K00016|g__Streptococcus.s__Streptococcus_gordonii"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_gordonii"	"K00016"
"K00016|g__Streptococcus.s__Streptococcus_infantis"	0.184157334024192	0.498643003031301	4.0552654929273	0.122961863754907	0.902137297052467	0.98373034632542	"g__Streptococcus.s__Streptococcus_infantis"	"K00016"
"K00016|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	1.64160843399565	3.65367907656469	3.25469436234906	1.12258745977231	0.261612743744204	0.98373034632542	"g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	"K00016"
"K00016|g__Streptococcus.s__Streptococcus_parasanguinis"	1.08120798067075	3.05224431179777	3.37492579643629	0.904388569082242	0.365789397311016	0.98373034632542	"g__Streptococcus.s__Streptococcus_parasanguinis"	"K00016"
"K00016|g__Streptococcus.s__Streptococcus_peroris"	0.118523620651844	-0.124372744348554	4.09050181498056	-0.0304052534320034	0.975743855161396	0.98373034632542	"g__Streptococcus.s__Streptococcus_peroris"	"K00016"
"K00016|g__Streptococcus.s__Streptococcus_salivarius"	0.517247467966142	1.98729591352787	3.72815095938165	0.533051353118352	0.593998032583293	0.98373034632542	"g__Streptococcus.s__Streptococcus_salivarius"	"K00016"
"K00016|g__Streptococcus.s__Streptococcus_sanguinis"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_sanguinis"	"K00016"
"K00016|g__Streptococcus.s__Streptococcus_tigurinus"	0.0482164868245259	-1.37602006890531	4.1594189582294	-0.33082026185	0.740780255101383	0.98373034632542	"g__Streptococcus.s__Streptococcus_tigurinus"	"K00016"
"K00016|g__Veillonella.s__Veillonella_parvula"	0.144649460473578	0.147680268418433	4.07327435662149	0.0362559099851364	0.971078305541656	0.98373034632542	"g__Veillonella.s__Veillonella_parvula"	"K00016"
"K00018|g__Haemophilus.s__Haemophilus_parainfluenzae"	0.612538639561372	2.23119392153099	4.00916487337087	0.556523363843359	0.577853127095671	0.98373034632542	"g__Haemophilus.s__Haemophilus_parainfluenzae"	"K00018"
"K00018|g__Porphyromonas.s__Porphyromonas_gingivalis"	0	NA	NA	NA	NA	NA	"g__Porphyromonas.s__Porphyromonas_gingivalis"	"K00018"
"K00018|g__Prevotella.s__Prevotella_melaninogenica"	0.873321904339467	2.74288575000038	3.85460452024346	0.711586814054567	0.476720674663912	0.98373034632542	"g__Prevotella.s__Prevotella_melaninogenica"	"K00018"
"K00020|g__Atopobium.s__Atopobium_parvulum"	0.307716015163247	1.23498443533394	4.02897385326081	0.306525800442814	0.759204338714725	0.98373034632542	"g__Atopobium.s__Atopobium_parvulum"	"K00020"
"K00024|g__Campylobacter.s__Campylobacter_concisus"	0	NA	NA	NA	NA	NA	"g__Campylobacter.s__Campylobacter_concisus"	"K00024"
"K00024|g__Haemophilus.s__Haemophilus_parainfluenzae"	1.10769546052472	3.08573141314901	3.32975628876704	0.926713893013358	0.354075102253326	0.98373034632542	"g__Haemophilus.s__Haemophilus_parainfluenzae"	"K00024"
"K00024|g__Porphyromonas.s__Porphyromonas_gingivalis"	0.0482164868245259	-1.37602006890531	4.1594189582294	-0.33082026185	0.740780255101383	0.98373034632542	"g__Porphyromonas.s__Porphyromonas_gingivalis"	"K00024"
"K00024|g__Prevotella.s__Prevotella_histicola"	2.46092706998035	4.2380449310859	3.09996153241817	1.36712823264615	0.171585115331164	0.98373034632542	"g__Prevotella.s__Prevotella_histicola"	"K00024"
"K00024|g__Prevotella.s__Prevotella_melaninogenica"	1.26105353427221	3.27280661519482	3.30514860468646	0.990214664040888	0.322069206530168	0.98373034632542	"g__Prevotella.s__Prevotella_melaninogenica"	"K00024"
"K00024|g__Rothia.s__Rothia_mucilaginosa"	0.584022983392311	2.16218705572232	4.01014297501415	0.539179542772958	0.589762974570698	0.98373034632542	"g__Rothia.s__Rothia_mucilaginosa"	"K00024"
"K00027|g__Atopobium.s__Atopobium_parvulum"	0.093149501873141	-0.486694942755345	4.11895050773692	-0.11815993948972	0.905940931188133	0.98373034632542	"g__Atopobium.s__Atopobium_parvulum"	"K00027"
"K00027|g__Prevotella.s__Prevotella_melaninogenica"	0.132657375423755	0.0276285069295674	4.08048722551239	0.0067708843093114	0.994597657224937	0.994597657224937	"g__Prevotella.s__Prevotella_melaninogenica"	"K00027"
"K00027|g__Prevotella.s__Prevotella_salivae"	0.0395078735506145	-1.3760200689053	4.1594189582294	-0.33082026185	0.740780255101384	0.98373034632542	"g__Prevotella.s__Prevotella_salivae"	"K00027"
"K00027|g__Veillonella.s__Veillonella_atypica"	2.75033220316719	4.39846009922462	3.04289130821767	1.44548708898871	0.148321116956045	0.98373034632542	"g__Veillonella.s__Veillonella_atypica"	"K00027"
"K00027|g__Veillonella.s__Veillonella_dispar"	0.457428977102583	1.81305540332332	3.82540254719806	0.473951533453991	0.635534469263447	0.98373034632542	"g__Veillonella.s__Veillonella_dispar"	"K00027"
"K00027|g__Veillonella.s__Veillonella_parvula"	0.280590307673244	1.10535411964063	4.03269662647868	0.274098009848516	0.784009303202935	0.98373034632542	"g__Veillonella.s__Veillonella_parvula"	"K00027"
"K00029|g__Campylobacter.s__Campylobacter_concisus"	0.0877243603751404	-0.565431414840781	4.12610277013132	-0.137037646985895	0.891001037811996	0.98373034632542	"g__Campylobacter.s__Campylobacter_concisus"	"K00029"
"K00029|g__Haemophilus.s__Haemophilus_parainfluenzae"	0.386731762264476	1.56685840282114	4.02082369658546	0.389685925337075	0.696768805344014	0.98373034632542	"g__Haemophilus.s__Haemophilus_parainfluenzae"	"K00029"
"K00031|g__Campylobacter.s__Campylobacter_concisus"	0	NA	NA	NA	NA	NA	"g__Campylobacter.s__Campylobacter_concisus"	"K00031"
"K00031|g__Streptococcus.s__Streptococcus_gordonii"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_gordonii"	"K00031"
"K00031|g__Streptococcus.s__Streptococcus_sanguinis"	0.160924884967579	0.294308401645507	4.06522526280734	0.0723965789394571	0.942286307263414	0.98373034632542	"g__Streptococcus.s__Streptococcus_sanguinis"	"K00031"
"K00033|g__Haemophilus.s__Haemophilus_parainfluenzae"	1.02539624164758	2.97410625667501	3.35881123549911	0.885463947852095	0.375906455784224	0.98373034632542	"g__Haemophilus.s__Haemophilus_parainfluenzae"	"K00033"
"K00033|g__Rothia.s__Rothia_dentocariosa"	0	NA	NA	NA	NA	NA	"g__Rothia.s__Rothia_dentocariosa"	"K00033"
"K00033|g__Rothia.s__Rothia_mucilaginosa"	0.867896762841466	2.73400665010475	4.00328479484939	0.682940832394015	0.494644230864776	0.98373034632542	"g__Rothia.s__Rothia_mucilaginosa"	"K00033"
"K00033|g__Streptococcus.s__Streptococcus_gordonii"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_gordonii"	"K00033"
"K00033|g__Streptococcus.s__Streptococcus_infantis"	0.412105881043178	1.65994356826749	4.0188521198289	0.413039225822064	0.679577874846309	0.98373034632542	"g__Streptococcus.s__Streptococcus_infantis"	"K00033"
"K00033|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	0.118523620651844	-0.124372744348554	4.09050181498056	-0.0304052534320034	0.975743855161396	0.98373034632542	"g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	"K00033"
"K00033|g__Streptococcus.s__Streptococcus_parasanguinis"	1.01418431861934	2.95973771629255	3.35388680238343	0.882479907845794	0.377517340387005	0.98373034632542	"g__Streptococcus.s__Streptococcus_parasanguinis"	"K00033"
"K00033|g__Streptococcus.s__Streptococcus_peroris"	0.0395078735506145	-1.3760200689053	4.1594189582294	-0.33082026185	0.740780255101384	0.98373034632542	"g__Streptococcus.s__Streptococcus_peroris"	"K00033"
"K00036|g__Haemophilus.s__Haemophilus_parainfluenzae"	0.601688356565371	2.20576471615512	3.64164459262384	0.605705653051071	0.544710229484879	0.98373034632542	"g__Haemophilus.s__Haemophilus_parainfluenzae"	"K00036"
"K00036|g__Rothia.s__Rothia_dentocariosa"	0.192865947298104	0.563127139151363	4.05239930070035	0.138961414551138	0.889480639880394	0.98373034632542	"g__Rothia.s__Rothia_dentocariosa"	"K00036"
"K00036|g__Rothia.s__Rothia_mucilaginosa"	0.530381355069785	2.02334313028482	4.01225768099424	0.504290424782347	0.614057305147998	0.98373034632542	"g__Rothia.s__Rothia_mucilaginosa"	"K00036"
"K00036|g__Streptococcus.s__Streptococcus_cristatus"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_cristatus"	"K00036"
"K00036|g__Streptococcus.s__Streptococcus_gordonii"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_gordonii"	"K00036"
"K00036|g__Streptococcus.s__Streptococcus_infantis"	0.0482164868245259	-1.37602006890531	4.1594189582294	-0.33082026185	0.740780255101383	0.98373034632542	"g__Streptococcus.s__Streptococcus_infantis"	"K00036"
"K00036|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	1.83486446230455	3.8144723495487	3.22946776928765	1.18114581784171	0.237544801133488	0.98373034632542	"g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	"K00036"
"K00036|g__Streptococcus.s__Streptococcus_oligofermentans"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_oligofermentans"	"K00036"
"K00036|g__Streptococcus.s__Streptococcus_parasanguinis"	0.51649574692311	1.98693424971368	4.01284651891932	0.495143345339999	0.620498938865672	0.98373034632542	"g__Streptococcus.s__Streptococcus_parasanguinis"	"K00036"
"K00036|g__Streptococcus.s__Streptococcus_peroris"	0.158031494202458	0.287421378805321	4.06558565850011	0.07069618080839	0.943639560507098	0.98373034632542	"g__Streptococcus.s__Streptococcus_peroris"	"K00036"
"K00036|g__Streptococcus.s__Streptococcus_sanguinis"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_sanguinis"	"K00036"
"K00036|g__Streptococcus.s__Streptococcus_tigurinus"	0.0482164868245259	-1.37602006890531	4.1594189582294	-0.33082026185	0.740780255101383	0.98373034632542	"g__Streptococcus.s__Streptococcus_tigurinus"	"K00036"
"K00048|g__Veillonella.s__Veillonella_atypica"	1.82426232593378	3.8063388796429	3.24782370944087	1.17196597480908	0.241210717052133	0.98373034632542	"g__Veillonella.s__Veillonella_atypica"	"K00048"
"K00048|g__Veillonella.s__Veillonella_dispar"	0.0395078735506145	-1.3760200689053	4.1594189582294	-0.33082026185	0.740780255101384	0.98373034632542	"g__Veillonella.s__Veillonella_dispar"	"K00048"
"K00048|g__Veillonella.s__Veillonella_parvula"	0.302680954676036	1.2171182207425	4.02946749654871	0.302054358742186	0.762610624720504	0.98373034632542	"g__Veillonella.s__Veillonella_parvula"	"K00048"
"K00052|g__Campylobacter.s__Campylobacter_concisus"	0.079015747101229	-0.701721957452983	4.13922259323139	-0.16952989157927	0.865379862550003	0.98373034632542	"g__Campylobacter.s__Campylobacter_concisus"	"K00052"
"K00052|g__Haemophilus.s__Haemophilus_parainfluenzae"	0.437479999821881	1.74724061551259	4.0171143666733	0.434949183923667	0.663599312991423	0.98373034632542	"g__Haemophilus.s__Haemophilus_parainfluenzae"	"K00052"
"K00052|g__Rothia.s__Rothia_dentocariosa"	0	NA	NA	NA	NA	NA	"g__Rothia.s__Rothia_dentocariosa"	"K00052"
"K00052|g__Rothia.s__Rothia_mucilaginosa"	0.423707885082211	1.69673118316516	4.01810707800857	0.422271271079736	0.672827025174372	0.98373034632542	"g__Rothia.s__Rothia_mucilaginosa"	"K00052"
"K00052|g__Streptococcus.s__Streptococcus_cristatus"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_cristatus"	"K00052"
"K00052|g__Streptococcus.s__Streptococcus_gordonii"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_gordonii"	"K00052"
"K00052|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	0.608255300117193	2.22133931486021	3.62973127888139	0.611984509096989	0.540548006708448	0.98373034632542	"g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	"K00052"
"K00052|g__Streptococcus.s__Streptococcus_oligofermentans"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_oligofermentans"	"K00052"
"K00052|g__Streptococcus.s__Streptococcus_parasanguinis"	1.28720781507249	3.30351409677676	3.31984507140135	0.99508080218403	0.31969696688875	0.98373034632542	"g__Streptococcus.s__Streptococcus_parasanguinis"	"K00052"
"K00052|g__Streptococcus.s__Streptococcus_salivarius"	0.49515682096335	1.92325536241531	3.77400795739921	0.509605539819975	0.610327841982269	0.98373034632542	"g__Streptococcus.s__Streptococcus_salivarius"	"K00052"
"K00052|g__Streptococcus.s__Streptococcus_sanguinis"	0.0536416283225265	-1.3760200689053	4.1594189582294	-0.33082026185	0.740780255101384	0.98373034632542	"g__Streptococcus.s__Streptococcus_sanguinis"	"K00052"
"K00052|g__Veillonella.s__Veillonella_atypica"	2.77064282048014	4.40892021898819	3.03068905535497	1.45475835312039	0.145736171564842	0.98373034632542	"g__Veillonella.s__Veillonella_atypica"	"K00052"
"K00052|g__Veillonella.s__Veillonella_dispar"	0.251180996075599	0.949567770839162	4.03763080824988	0.235179444564114	0.814069459476066	0.98373034632542	"g__Veillonella.s__Veillonella_dispar"	"K00052"
"K00052|g__Veillonella.s__Veillonella_parvula"	0.734707372021369	2.492202297776	3.93021159784808	0.634114025601208	0.526006410092631	0.98373034632542	"g__Veillonella.s__Veillonella_parvula"	"K00052"
"K00053|g__Campylobacter.s__Campylobacter_concisus"	0.118523620651844	-0.124372744348554	4.09050181498056	-0.0304052534320034	0.975743855161396	0.98373034632542	"g__Campylobacter.s__Campylobacter_concisus"	"K00053"
"K00053|g__Haemophilus.s__Haemophilus_parainfluenzae"	0.768428464041741	2.55909928054429	3.48901041091737	0.733474246031677	0.463269229957402	0.98373034632542	"g__Haemophilus.s__Haemophilus_parainfluenzae"	"K00053"
"K00053|g__Rothia.s__Rothia_dentocariosa"	0	NA	NA	NA	NA	NA	"g__Rothia.s__Rothia_dentocariosa"	"K00053"
"K00053|g__Streptococcus.s__Streptococcus_cristatus"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_cristatus"	"K00053"
"K00053|g__Streptococcus.s__Streptococcus_gordonii"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_gordonii"	"K00053"
"K00053|g__Streptococcus.s__Streptococcus_infantis"	1.02250285088246	2.97072157220946	3.35325721094601	0.885921176136491	0.375660004145442	0.98373034632542	"g__Streptococcus.s__Streptococcus_infantis"	"K00053"
"K00053|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	3.10832860361592	4.57513022303038	2.94648798672184	1.55274015833355	0.120485224202308	0.98373034632542	"g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	"K00053"
"K00053|g__Streptococcus.s__Streptococcus_oligofermentans"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_oligofermentans"	"K00053"
"K00053|g__Streptococcus.s__Streptococcus_parasanguinis"	1.47125165568968	3.49707138070058	3.33660853183935	1.04809160179566	0.294596405223218	0.98373034632542	"g__Streptococcus.s__Streptococcus_parasanguinis"	"K00053"
"K00053|g__Streptococcus.s__Streptococcus_peroris"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_peroris"	"K00053"
"K00053|g__Streptococcus.s__Streptococcus_salivarius"	1.03424678930705	2.98672517207163	3.75075142726781	0.79630048271348	0.425857405086592	0.98373034632542	"g__Streptococcus.s__Streptococcus_salivarius"	"K00053"
"K00053|g__Streptococcus.s__Streptococcus_sanguinis"	0.150074601971578	0.198057205241138	4.07041815872547	0.0486577048150635	0.961192082592488	0.98373034632542	"g__Streptococcus.s__Streptococcus_sanguinis"	"K00053"
"K00053|g__Streptococcus.s__Streptococcus_tigurinus"	0.0964329736490518	-0.438095973068009	4.11472057827898	-0.106470406612943	0.915209134025101	0.98373034632542	"g__Streptococcus.s__Streptococcus_tigurinus"	"K00053"
"K00053|g__Veillonella.s__Veillonella_atypica"	2.00110099536312	3.93977765264304	3.99528179090776	0.986107578596575	0.324080325099192	0.98373034632542	"g__Veillonella.s__Veillonella_atypica"	"K00053"
"K00053|g__Veillonella.s__Veillonella_dispar"	0.992845392659579	2.92809681865026	3.35379554781704	0.873069564588138	0.382625161862777	0.98373034632542	"g__Veillonella.s__Veillonella_dispar"	"K00053"
"K00053|g__Veillonella.s__Veillonella_parvula"	0	NA	NA	NA	NA	NA	"g__Veillonella.s__Veillonella_parvula"	"K00053"
"K00054|g__Streptococcus.s__Streptococcus_cristatus"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_cristatus"	"K00054"
"K00054|g__Streptococcus.s__Streptococcus_gordonii"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_gordonii"	"K00054"
"K00054|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	2.48048596625027	4.24940554881128	3.09112934798697	1.3747097162332	0.169221457752761	0.98373034632542	"g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	"K00054"
"K00054|g__Streptococcus.s__Streptococcus_oligofermentans"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_oligofermentans"	"K00054"
