""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"KO_Number"	"KO_Class"	"KO_Subclass_1"	"KO_Subclass_2"
"K00086"	0	0	0	0	1	NA	"K00086"	"Metabolism"	"Carbohydrate metabolism"	" Propanoate metabolism"
"K00087"	0.790124730592062	1.73879983950831	2.88218857850394	0.603291489140129	0.546314793780037	NA	"K00087"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"
"K00088"	123.315970898018	2.92601373230873	1.43938585502791	2.03282095769379	0.0420706149736734	0.0794103977414719	"K00088"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"
"K00090"	8.33551542360268	-1.8175103508858	2.00967246848383	-0.904381375268078	0.365793210531377	0.465075227095799	"K00090"	"Metabolism"	"Carbohydrate metabolism"	" Pentose phosphate pathway"
"K00091"	0	NA	NA	NA	NA	NA	"K00091"	NA	NA	NA
"K00094"	1.80323385087524	-1.42489070134445	2.91991200047768	-0.487990974081188	0.625556234298462	NA	"K00094"	"Metabolism"	"Carbohydrate metabolism"	" Galactose metabolism"
"K00096"	2.52581580305384	2.10371253258384	2.06281898780724	1.01982410721363	0.307811887828226	NA	"K00096"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"
"K00097"	11.8943098790743	3.68740145679863	2.14570024020438	1.71850726756101	0.0857041299962676	0.141336635432441	"K00097"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Vitamin B metabolism"
"K00098"	0.639426168253881	-1.26404600483342	3.03910401065663	-0.41592719446292	0.677463279314405	NA	"K00098"	NA	NA	NA
"K00099"	7.26728641808898	4.17693245576663	2.04736633415816	2.04014903736518	0.0413354838408226	0.0786096684871107	"K00099"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Terpenoid backbone biosynthesis"
"K00100"	1.06519271752605	-0.306050106135766	2.83056568031701	-0.108123301382461	0.913897884676567	NA	"K00100"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"
"K00101"	8.64489266974866	-0.543921078445326	1.85366301245976	-0.293430399586792	0.769193192037765	0.830445942399118	"K00101"	"Metabolism"	"Carbohydrate metabolism"	" Pyruvate metabolism"
"K00102"	2.17140176350927	-2.78581030971984	2.3465457058734	-1.18719627013741	0.235150211773174	NA	"K00102"	"Metabolism"	"Carbohydrate metabolism"	" Pyruvate metabolism"
"K00104"	2.26382024146514	2.44490076070762	2.47441078471782	0.988073918771911	0.323116447914178	NA	"K00104"	"Metabolism"	"Carbohydrate metabolism"	" Glyoxylate and dicarboxylate metabolism"
"K00105"	0.702108880436693	1.66130239740873	3.03730333083778	0.546966244873044	0.5844019226918	NA	"K00105"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"
"K00107"	0.618651540077794	0.179776165662384	2.73882226308114	0.0656399533791352	0.94766447949033	NA	"K00107"	NA	NA	NA
"K00108"	1.63028133465023	-1.98478742661755	2.66253117768577	-0.745451337153053	0.455998918875431	NA	"K00108"	"Metabolism"	"Amino acid metabolism"	" Glycine, serine and threonine metabolism"
"K00111"	8.89712475694553	-2.2205807820319	1.78523043444931	-1.24386227076443	0.2135502573573	0.295881933430314	"K00111"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"
"K00112"	0.69947599117236	1.16599753722372	2.92853827715269	0.398150007572167	0.690519614225674	NA	"K00112"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"
"K00113"	1.02064920515799	-1.80056945566657	3.01408448131325	-0.597385198334603	0.550250233711879	NA	"K00113"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"
"K00116"	25.6690430450885	0.04879023690368	1.3342326394129	0.036568013300251	0.970829448152268	0.979863652036291	"K00116"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00117"	2.97911047340276	2.2133596160928	2.68482207658678	0.824397130593715	0.409713944725731	NA	"K00117"	"Metabolism"	"Carbohydrate metabolism"	" Pentose phosphate pathway"
"K00121"	1.82992797244605	-2.52368933389675	3.0015661033325	-0.840790856178317	0.400465110552072	NA	"K00121"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00123"	7.22784015810997	-2.02414393764012	1.82628567467434	-1.10833916386113	0.267715367653949	0.357448816738446	"K00123"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00124"	15.1858631995207	0.710674377143146	1.4855893767377	0.478378741980344	0.632380661134134	0.718845262921832	"K00124"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00127"	0	0	0	0	1	NA	"K00127"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00128"	27.7225992730348	1.29187038846249	1.68921862958421	0.764773940943616	0.444406167706089	0.544407208050031	"K00128"	"Metabolism"	"Carbohydrate metabolism"	" Glycolysis / Gluconeogenesis"
"K00129"	0	NA	NA	NA	NA	NA	"K00129"	"Metabolism"	"Carbohydrate metabolism"	" Glycolysis / Gluconeogenesis"
"K00130"	2.61544335608103	-1.01954676689552	2.26859575918744	-0.449417558314	0.65313046745768	NA	"K00130"	"Metabolism"	"Amino acid metabolism"	" Glycine, serine and threonine metabolism"
"K00131"	256.475878774077	6.07950124564888	2.17722488920867	2.79231662093415	0.00523321210107543	0.0197294894719689	"K00131"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00132"	0	NA	NA	NA	NA	NA	"K00132"	"Metabolism"	"Carbohydrate metabolism"	" Pyruvate metabolism"
"K00133"	112.680097489936	4.26759549734119	1.54689034689926	2.75882224353883	0.00580100798998368	0.0209192359741099	"K00133"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"
"K00134"	2000.9958608966	4.02727012932475	1.44533788711905	2.78638660566229	0.00532992622376248	0.0198814708346696	"K00134"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00135"	5.60967160598375	-0.0513077355658678	1.47786977720019	-0.0347173589699287	0.972305118814801	0.980651085499906	"K00135"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"
"K00137"	0	NA	NA	NA	NA	NA	"K00137"	"Metabolism"	"Amino acid metabolism"	" Arginine and proline metabolism"
"K00138"	19.6538486905511	0.805615691154895	1.75684618108081	0.458557897572616	0.646551676667398	0.729894206646142	"K00138"	"Metabolism"	"Carbohydrate metabolism"	" Glycolysis / Gluconeogenesis"
"K00140"	1.21532888089978	0.140870743187032	2.56797295197017	0.0548567861974382	0.956252559625436	NA	"K00140"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00141"	0	NA	NA	NA	NA	NA	"K00141"	"Metabolism"	"Overview"	" Degradation of aromatic compounds"
"K00143"	0	NA	NA	NA	NA	NA	"K00143"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"
"K00145"	1.99927628494233	0.967657518228422	2.11515429005273	0.45748791129762	0.647320389307296	NA	"K00145"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"
"K00146"	0	NA	NA	NA	NA	NA	"K00146"	"Metabolism"	"Amino acid metabolism"	" Phenylalanine metabolism"
"K00147"	86.1667671203839	4.97830245107496	1.93956441331971	2.56671158580097	0.0102667967251515	0.0296643102099665	"K00147"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"
"K00150"	0	NA	NA	NA	NA	NA	"K00150"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00151"	2.03273736850727	1.85458875286684	2.48854261034658	0.745250953371683	0.456120025204988	NA	"K00151"	"Metabolism"	"Overview"	" Degradation of aromatic compounds"
"K00153"	0.861538900056879	1.8930593795491	3.03238432339163	0.624280822502001	0.532443176122572	NA	"K00153"	NA	NA	NA
"K00154"	0.531049286865288	0.199959730981838	3.04854650346272	0.0655918257289865	0.947702797223033	NA	"K00154"	NA	NA	NA
"K00156"	7.57923914346736	3.45303475281712	2.07401642957619	1.66490231397189	0.0959322464958429	0.155297896164338	"K00156"	"Metabolism"	"Carbohydrate metabolism"	" Pyruvate metabolism"
"K00158"	319.270039880587	4.70407685882598	1.97404737814659	2.38296046533725	0.0171740386108759	0.0416072069438746	"K00158"	"Metabolism"	"Carbohydrate metabolism"	" Pyruvate metabolism"
"K00161"	337.18037163561	4.65021231015569	1.76506207959766	2.63458853028881	0.00842393327350086	0.0260476884114829	"K00161"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00162"	447.500200571508	4.62166384828135	1.82538342280831	2.53188661107212	0.0113450671889807	0.0314273963388268	"K00162"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00163"	15.072056221648	3.8092536259427	1.62768083345571	2.34029519033858	0.0192685035464521	0.0447498492456034	"K00163"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00164"	3.36091282675153	-0.979240125171773	2.22674928253745	-0.439762182860524	0.660109360095312	NA	"K00164"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00166"	0	NA	NA	NA	NA	NA	"K00166"	"Metabolism"	"Carbohydrate metabolism"	" Propanoate metabolism"
"K00167"	0.439613281363035	-0.159333948174021	3.04914612274782	-0.0522552681176307	0.95832529545952	NA	"K00167"	"Metabolism"	"Carbohydrate metabolism"	" Propanoate metabolism"
"K00169"	0	NA	NA	NA	NA	NA	"K00169"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00170"	0	NA	NA	NA	NA	NA	"K00170"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00171"	0	NA	NA	NA	NA	NA	"K00171"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00174"	0.787983116067355	1.16636295461862	2.88767670642516	0.403910504255351	0.686278531677119	NA	"K00174"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00175"	11.1507480770815	3.10329144448074	2.27156788804844	1.36614514618221	0.171893410553323	0.245431959472894	"K00175"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00176"	0	NA	NA	NA	NA	NA	"K00176"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00177"	0	NA	NA	NA	NA	NA	"K00177"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00179"	0	NA	NA	NA	NA	NA	"K00179"	NA	NA	NA
"K00180"	0.968448598613319	1.99860496666869	3.0301486000682	0.6595732521579	0.509527723775957	NA	"K00180"	NA	NA	NA
"K00184"	0	NA	NA	NA	NA	NA	"K00184"	NA	NA	NA
"K00185"	0.133169859088313	0.674375003605804	3.04838446617785	0.22122373706075	0.824918227599166	NA	"K00185"	NA	NA	NA
"K00187"	0	NA	NA	NA	NA	NA	"K00187"	"Metabolism"	"Amino acid metabolism"	" Valine, leucine and isoleucine degradation"
"K00198"	0	NA	NA	NA	NA	NA	"K00198"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00208"	8.02791522859046	3.97056519053592	2.21436878412062	1.79309120459478	0.0729583417841209	0.124843764460692	"K00208"	"Metabolism"	"Overview"	" Fatty acid metabolism"
"K00209"	2.80359734060093	2.26630057713295	2.58870174018722	0.875458358895006	0.381324558062406	NA	"K00209"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00211"	0.439613281363035	-0.159333948174021	3.04914612274782	-0.0522552681176307	0.95832529545952	NA	"K00211"	"Metabolism"	"Amino acid metabolism"	" Phenylalanine, tyrosine and tryptophan biosynthesis"
"K00215"	165.037727036638	6.50744204859623	2.01125441753067	3.23551411093271	0.00121423883544567	0.00882513792772365	"K00215"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"
"K00216"	1.6336575692869	0.0596471111764382	2.50440972252765	0.0238168342184192	0.980998712093703	NA	"K00216"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Biosynthesis of siderophore group nonribosomal peptides"
"K00219"	1.31100516980175	0.494538313337228	2.76831127801991	0.17864259603456	0.85821834565127	NA	"K00219"	NA	NA	NA
"K00222"	1.01371390537382	1.52321637429575	2.59372656729319	0.58726944987319	0.557022755507556	NA	"K00222"	"Metabolism"	"Lipid metabolism"	" Steroid biosynthesis"
"K00223"	0	NA	NA	NA	NA	NA	"K00223"	"Metabolism"	"Lipid metabolism"	" Steroid biosynthesis"
"K00226"	41.3226756528248	7.05071369678947	2.10259089789748	3.35334548619988	0.000798409784319898	0.00726295352187778	"K00226"	"Metabolism"	"Nucleotide metabolism"	" Pyrimidine metabolism"
"K00227"	3.59587593659212	-1.85681358314109	2.26300217665639	-0.820508969144943	0.411926018300024	NA	"K00227"	"Metabolism"	"Lipid metabolism"	" Steroid biosynthesis"
"K00228"	7.52399005116935	-1.12114656665183	2.00775728919029	-0.558407419406742	0.576566207590715	0.672841686663029	"K00228"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Porphyrin and chlorophyll metabolism"
"K00230"	0.462670529381249	-0.202953636876196	3.04374107725672	-0.0666790084060353	0.946837245978572	NA	"K00230"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Porphyrin and chlorophyll metabolism"
"K00231"	1.55418097928761	1.87725521592408	2.26493770081812	0.828833047039655	0.40719888545788	NA	"K00231"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Porphyrin and chlorophyll metabolism"
"K00232"	0.959139252380821	-1.72980387837038	3.02306620777685	-0.572201784373909	0.56718527877338	NA	"K00232"	"Metabolism"	"Overview"	" Fatty acid metabolism"
"K00234"	7.21819033450593	-4.52748064193142	2.31266414464445	-1.95769050703534	0.0502663398294098	0.0918076932117458	"K00234"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00235"	5.11629321540787	-4.02128484241129	2.51556759120811	-1.59855964771754	0.109918481915038	0.172217266676405	"K00235"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00236"	1.28896748776369	-1.60110736376224	2.93253617019899	-0.545980431557164	0.585079388487979	NA	"K00236"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00237"	1.38542336455008	-2.19406847162878	3.00937734235803	-0.729077221638678	0.465954427266486	NA	"K00237"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00239"	9.04931489386021	1.91286546458101	2.45896409979489	0.77791516547174	0.436619027179915	0.535798806199895	"K00239"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00240"	19.1743723027228	2.21760300134221	1.88582232147898	1.17593422035806	0.239621162931742	0.326077782971497	"K00240"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00241"	0	0	0	0	1	NA	"K00241"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00242"	1.38410988822712	2.39664708414047	2.91543001764611	0.822056118526042	0.411044958488438	NA	"K00242"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00243"	20.4870847500305	5.49100939259836	2.45274501318353	2.23872003126462	0.0251741383372913	0.054159452205346	"K00243"	NA	NA	NA
"K00244"	1.38312901574807	0.0563889932625706	2.14872382015731	0.0262430158467002	0.979063506000788	NA	"K00244"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00245"	4.56751798612294	-0.414560190018235	2.42725685026103	-0.170793704825121	0.864385979166651	0.905795034777703	"K00245"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00246"	12.8658847946137	5.37810222803455	2.57009489839886	2.09256951227173	0.0363876005099773	0.0720597144930731	"K00246"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00247"	1.40817148557921	-2.17736376959656	3.00979967782323	-0.723424813166068	0.46941893128083	NA	"K00247"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00248"	0	NA	NA	NA	NA	NA	"K00248"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00249"	0.790124730592062	-1.43038128864082	3.03441979744289	-0.471385432512074	0.637365516915559	NA	"K00249"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00252"	1.40421776087339	2.38902501398857	3.02324716824939	0.790218225978504	0.429400333692343	NA	"K00252"	"Metabolism"	"Lipid metabolism"	" Fatty acid degradation"
"K00253"	0.234036293478898	0.884670093918916	3.04716406753483	0.290325717392243	0.771567066078061	NA	"K00253"	"Metabolism"	"Amino acid metabolism"	" Valine, leucine and isoleucine degradation"
"K00254"	4.12307503623557	2.05321458207199	2.24003337808339	0.916599994518276	0.359352287251297	NA	"K00254"	"Metabolism"	"Nucleotide metabolism"	" Pyrimidine metabolism"
"K00257"	1.56021964737042	0.181824750546746	2.16191378728105	0.0841036083938479	0.932974055727823	NA	"K00257"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Geraniol degradation"
"K00259"	55.2287233034868	5.99783823516866	2.18961737640107	2.73921749973821	0.00615856162200238	0.0214247655772065	"K00259"	"Metabolism"	"Amino acid metabolism"	" Alanine, aspartate and glutamate metabolism"
"K00260"	2.75156360642929	-1.5298086658083	2.67612697096762	-0.571650255165268	0.567558941560603	NA	"K00260"	"Metabolism"	"Energy metabolism"	" Nitrogen metabolism"
"K00261"	1.18518709588809	2.16743095747758	3.02743423414422	0.715929988844254	0.474034580021239	NA	"K00261"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00262"	191.112844520371	3.78910991418293	1.58806916706022	2.38598544243335	0.017033425306746	0.0415003766962763	"K00262"	"Metabolism"	"Energy metabolism"	" Nitrogen metabolism"
"K00263"	0.90723852159306	-1.61461744227666	2.79038173953202	-0.578636757617057	0.562834297030861	NA	"K00263"	"Metabolism"	"Amino acid metabolism"	" Valine, leucine and isoleucine degradation"
"K00264"	0.106571028042313	-0.159333948174021	3.04914612274782	-0.0522552681176307	0.95832529545952	NA	"K00264"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"
"K00265"	0.48606587733936	1.33642266935954	3.0423877732428	0.439267696614189	0.660467577932605	NA	"K00265"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"
"K00266"	4.64813570211186	1.88991028722144	1.96308355511429	0.962725342127073	0.335685375539144	0.432252401379172	"K00266"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"
"K00274"	1.42020681962173	2.19856790075336	3.02692616979656	0.726336810818591	0.467632318174643	NA	"K00274"	"Metabolism"	"Amino acid metabolism"	" Glycine, serine and threonine metabolism"
"K00275"	3.54376909425802	-1.04232719095836	2.06718927897454	-0.504224359888042	0.614103724126468	NA	"K00275"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Vitamin B metabolism"
