""	"Gene.symbol"	"baseMean"	"logFC"	"lfcSE"	"stat"	"pvalue"	"adj.P.Val"	"KO_Number"	"KO_Class"	"KO_Subclass_1"	"KO_Subclass_2"	"path"
"65"	"K16786"	14.4232449948995	20.2543536581095	2.96405359983035	6.83332907990218	8.29663341735919e-12	2.72067604317805e-11	"K16786"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"	"K16786_Environmental Information Processing_Membrane transport_ ABC transporters"
"66"	"K00645"	13.0927573634316	20.1168228051447	2.96441007772559	6.78611335061278	1.15194658194978e-11	2.75091721062633e-11	"K00645"	"Metabolism"	"Overview"	" Fatty acid metabolism"	"K00645_Metabolism_Overview_ Fatty acid metabolism"
"67"	"K02793"	13.4268262052306	20.1224375943497	2.96431430861958	6.78822671935903	1.13520161468203e-11	2.75091721062633e-11	"K02793"	"Metabolism"	"Carbohydrate metabolism"	" Fructose and mannose metabolism"	"K02793_Metabolism_Carbohydrate metabolism_ Fructose and mannose metabolism"
"68"	"K02906"	14.9599529690775	20.0253185309419	2.96392603346375	6.75634894557054	1.41512368012764e-11	3.32970277677092e-11	"K02906"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02906_Genetic Information Processing_Translation_ Ribosome"
"69"	"K09458"	15.164222104072	20.0058974016356	2.96388188794436	6.74989697902941	1.47950169159446e-11	3.43072856021904e-11	"K09458"	"Metabolism"	"Overview"	" Fatty acid metabolism"	"K09458_Metabolism_Overview_ Fatty acid metabolism"
"70"	"K07024"	30.0734907282093	19.8549393147929	2.9622207791968	6.70272096334984	2.04573888526526e-11	4.67597459489202e-11	"K07024"	"Metabolism"	"Carbohydrate metabolism"	" Starch and sucrose metabolism"	"K07024_Metabolism_Carbohydrate metabolism_ Starch and sucrose metabolism"
"71"	"K01937"	14.1796383617184	19.8169303464401	2.96411417959771	6.68561639185224	2.29954669060317e-11	5.18207704924659e-11	"K01937"	"Metabolism"	"Nucleotide metabolism"	" Pyrimidine metabolism"	"K01937_Metabolism_Nucleotide metabolism_ Pyrimidine metabolism"
"72"	"K01142"	15.0186505471913	19.6999776856813	2.96391481066258	6.646607255651	2.99925917414965e-11	6.62045781205134e-11	"K01142"	"Genetic Information Processing"	"Replication and repair"	" Base excision repair"	"K01142_Genetic Information Processing_Replication and repair_ Base excision repair"
"73"	"K01265"	14.9399755508183	19.6970041475602	2.96393270109095	6.64556389566816	3.02058387674843e-11	6.62045781205134e-11	"K01265"	NA	NA	NA	"K01265_NA_NA_NA"
"74"	"K02358"	23.2496488491296	19.4104575216955	2.96271759952466	6.55157195029651	5.6934544282619e-11	1.23101717367825e-10	"K02358"	NA	NA	NA	"K02358_NA_NA_NA"
"75"	"K01883"	14.2295571069717	19.3073871617944	2.96410177619273	6.51373961476924	7.3302522215841e-11	1.56378714060461e-10	"K01883"	"Genetic Information Processing"	"Translation"	" Aminoacyl-tRNA biosynthesis"	"K01883_Genetic Information Processing_Translation_ Aminoacyl-tRNA biosynthesis"
"76"	"K02028"	14.2068493921441	19.3007016660143	2.96410739843728	6.51147177601928	7.44180126647857e-11	1.56669500346917e-10	"K02028"	NA	NA	NA	"K02028_NA_NA_NA"
"77"	"K02904"	21.5971974133052	19.2238238668664	2.96288481751457	6.48821167573849	8.68611887427241e-11	1.80490781803063e-10	"K02904"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02904_Genetic Information Processing_Translation_ Ribosome"
"78"	"K02876"	14.2918507371182	18.8746524091352	2.96408648094102	6.36778060643594	1.91782972450382e-10	3.93400969128989e-10	"K02876"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02876_Genetic Information Processing_Translation_ Ribosome"
"79"	"K07052"	16.7348642873003	18.723530951779	2.9635690360945	6.31789937191863	2.65142560455879e-10	5.36997590796718e-10	"K07052"	NA	NA	NA	"K07052_NA_NA_NA"
"80"	"K01624"	17.3894634404492	18.2877990950862	2.96345476660357	6.17110789109361	6.78131261555126e-10	1.35626252311025e-09	"K01624"	"Metabolism"	"Overview"	" Carbon metabolism"	"K01624_Metabolism_Overview_ Carbon metabolism"
"81"	"K02078"	33.0524412399711	6.19973637650875	2.55207493691367	2.42929245016855	0.0151283238992673	0.0298831089368244	"K02078"	"Metabolism"	"Lipid metabolism"	" Fatty acid biosynthesis"	"K02078_Metabolism_Lipid metabolism_ Fatty acid biosynthesis"
"82"	"K02963"	28.483381339407	5.98555317332168	2.54105778010722	2.3555360370708	0.0184960029000364	0.0360897617561686	"K02963"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02963_Genetic Information Processing_Translation_ Ribosome"
"83"	"K02933"	23.0118703915418	5.67844272798369	2.51478700776824	2.25802133955792	0.0239443290541059	0.0461577427549029	"K02933"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02933_Genetic Information Processing_Translation_ Ribosome"
"84"	"K02003"	28.9879296563611	6.01033261678655	2.77519509021675	2.16573337059238	0.0303315674499554	0.0577744141903912	"K02003"	NA	NA	NA	"K02003_NA_NA_NA"
"85"	"K02874"	24.8663540617013	5.78948000340377	2.76162027842112	2.09640697116902	0.0360461045293501	0.0678514908787767	"K02874"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02874_Genetic Information Processing_Translation_ Ribosome"
"86"	"K03530"	16.184873961369	5.17185178146071	2.51487964050328	2.0565007160445	0.0397342773344452	0.0739242369012933	"K03530"	NA	NA	NA	"K03530_NA_NA_NA"
"87"	"K02518"	20.4351313862578	5.5071736436185	2.77111027341611	1.98735275764738	0.0468833190293922	0.0862221959161236	"K02518"	NA	NA	NA	"K02518_NA_NA_NA"
"88"	"K00939"	18.4818373182211	5.36259445176846	2.76035359966781	1.94272011108063	0.0520499849633278	0.0940051015466002	"K00939"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	"K00939_Metabolism_Nucleotide metabolism_ Purine metabolism"
"89"	"K02871"	18.2670792697557	5.34574308986574	2.75863993541159	1.93781835071859	0.0526453881186606	0.0940051015466002	"K02871"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02871_Genetic Information Processing_Translation_ Ribosome"
"90"	"K02886"	18.0281761793322	5.32685219101645	2.75839380082818	1.93114275032706	0.0534654015046289	0.0940051015466002	"K02886"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02886_Genetic Information Processing_Translation_ Ribosome"
"91"	"K02907"	18.1816392285661	5.33798493739542	2.76142865667847	1.9330519093751	0.0532298034601649	0.0940051015466002	"K02907"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02907_Genetic Information Processing_Translation_ Ribosome"
"92"	"K02931"	17.0995936628096	5.25064632428557	2.75540743561115	1.90557891962754	0.056704859285435	0.095555847199166	"K02931"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02931_Genetic Information Processing_Translation_ Ribosome"
"93"	"K02994"	17.0635804407607	5.24767750761344	2.75096811535612	1.90757482004989	0.056446192168704	0.095555847199166	"K02994"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02994_Genetic Information Processing_Translation_ Ribosome"
"94"	"K03088"	17.046014352751	5.24604230708709	2.75334096966296	1.90533695785933	0.0567362842745048	0.095555847199166	"K03088"	NA	NA	NA	"K03088_NA_NA_NA"
"95"	"K03111"	17.1524854529398	5.25384028690288	2.75429779549756	1.90750626003162	0.0564550611747554	0.095555847199166	"K03111"	"Genetic Information Processing"	"Replication and repair"	" DNA replication"	"K03111_Genetic Information Processing_Replication and repair_ DNA replication"
"96"	"K02520"	15.6128188905277	5.11910148703379	2.73794684659472	1.86968621885432	0.0615274043727011	0.102545673954502	"K02520"	NA	NA	NA	"K02520_NA_NA_NA"
"97"	"K00954"	14.7006253076811	5.03293683030336	2.74085015441896	1.83626851040688	0.0663179545627522	0.108274211531024	"K00954"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Pantothenate and CoA biosynthesis"	"K00954_Metabolism_Metabolism of cofactors and vitamins_ Pantothenate and CoA biosynthesis"
"98"	"K02892"	15.1365584525427	5.07537442085504	2.75795356381298	1.84026826537215	0.0657288620257942	0.108274211531024	"K02892"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02892_Genetic Information Processing_Translation_ Ribosome"
"99"	"K01462"	14.313737633324	4.99459805179039	2.74682800757632	1.81831481185362	0.0690160302070323	0.111541058920456	"K01462"	NA	NA	NA	"K01462_NA_NA_NA"
"100"	"K01956"	14.324733240363	4.9960527494155	2.75608445018725	1.8127357269753	0.0698725913180694	0.111796146108911	"K01956"	"Metabolism"	"Nucleotide metabolism"	" Pyrimidine metabolism"	"K01956_Metabolism_Nucleotide metabolism_ Pyrimidine metabolism"
"101"	"K02902"	13.9914705458106	4.96174633737981	2.7594590960834	1.79808656864028	0.0721632903533114	0.113197318201273	"K02902"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02902_Genetic Information Processing_Translation_ Ribosome"
"102"	"K02990"	13.7848332607291	4.94067129920277	2.74500186008783	1.79987903507092	0.0718797407059865	0.113197318201273	"K02990"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02990_Genetic Information Processing_Translation_ Ribosome"
"103"	"K06142"	13.8132052125398	4.94382042885882	2.76265075102242	1.78952059974616	0.073531012960584	0.114222932754305	"K06142"	NA	NA	NA	"K06142_NA_NA_NA"
"104"	"K01876"	13.4185421121159	4.90221148685868	2.76140550519827	1.77525954722347	0.075855041522871	0.11670006388134	"K01876"	"Genetic Information Processing"	"Translation"	" Aminoacyl-tRNA biosynthesis"	"K01876_Genetic Information Processing_Translation_ Aminoacyl-tRNA biosynthesis"
"105"	"K02601"	13.1550477587495	4.87372790855047	2.76753715599924	1.76103431817911	0.0782325946691629	0.117086347987955	"K02601"	NA	NA	NA	"K02601_NA_NA_NA"
"106"	"K02867"	13.0730955592776	4.86481040562513	2.76026942721261	1.76244041891872	0.0779949146617396	0.117086347987955	"K02867"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02867_Genetic Information Processing_Translation_ Ribosome"
"107"	"K02914"	13.0170112902238	4.85795080493904	2.75921579086442	1.76062735688285	0.0783014952169449	0.117086347987955	"K02914"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02914_Genetic Information Processing_Translation_ Ribosome"
"108"	"K00133"	12.3336650694751	4.78085798206991	2.75229747013643	1.73704261038067	0.0823796499757019	0.119545914831236	"K00133"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"	"K00133_Metabolism_Overview_ -Oxocarboxylic acid metabolism"
"109"	"K01915"	12.385792836252	4.78697696364684	2.74921785269164	1.74121412712351	0.081646051861922	0.119545914831236	"K01915"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"	"K01915_Metabolism_Overview_ Biosynthesis of amino acids"
"110"	"K02956"	12.1892219308672	4.76385209698483	2.74747041093561	1.73390478675349	0.0829349784141698	0.119545914831236	"K02956"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02956_Genetic Information Processing_Translation_ Ribosome"
"111"	"K07491"	12.2955259847923	4.77634371614497	2.75269076755787	1.73515447955037	0.0827134468034158	0.119545914831236	"K07491"	NA	NA	NA	"K07491_NA_NA_NA"
"112"	"K00053"	11.6673535380304	4.70061349814141	2.96488178874795	1.58543032507426	0.11286859572269	0.121835172541206	"K00053"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"	"K00053_Metabolism_Overview_ -Oxocarboxylic acid metabolism"
"113"	"K00134"	12.5582273221359	4.80637476812544	2.96457429568802	1.62126979752753	0.10495978940382	0.121835172541206	"K00134"	"Metabolism"	"Overview"	" Carbon metabolism"	"K00134_Metabolism_Overview_ Carbon metabolism"
"114"	"K00240"	11.9215983002352	4.73161311563022	2.96478932482571	1.59593569634442	0.110503150782104	0.121835172541206	"K00240"	"Metabolism"	"Overview"	" Carbon metabolism"	"K00240_Metabolism_Overview_ Carbon metabolism"
"115"	"K00384"	13.0814032355107	4.86489721229726	2.96441354247877	1.64109937516658	0.100776788443507	0.121835172541206	"K00384"	"Metabolism"	"Metabolism of other amino acids"	" Selenocompound metabolism"	"K00384_Metabolism_Metabolism of other amino acids_ Selenocompound metabolism"
"116"	"K00526"	11.8477593070559	4.72318340306111	2.75662372193216	1.71339431112149	0.0866400221834222	0.121835172541206	"K00526"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	"K00526_Metabolism_Nucleotide metabolism_ Purine metabolism"
