	M1	M10	M2	M3	M4	M5	M6	M7	M8	M9	MOC 	NEG1	M11	M12	M13	M14	M15	M16	M17	M19	M20	NEG2
UNGROUPED|unclassified	23687.894	197835.569	64140.17	47667.508	708319.529	113253.721	363087.891	43499.71	138296.515	85053.123	529590.456	2138.876	75266.454	11342.674	17767.493	122670.383	141587.205	53740.101	54764.306	8682.273	36838.09	32734.079
K00002	0	0	0	0	6.717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00002|unclassified	0	0	0	0	6.717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00003	0	679.686	0	1.631	1758.929	601.91	2199.785	141.283	444.968	256.342	1333.268	0	283.988	0	0	0	352.072	1.631	0	0	0	0
K00003|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	1.631	0	0	0	0	0	0	0	0	0	0	0	0	1.631	1.631	0	0	0	0
K00003|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	125.503	0	0	692.933	181.865	786.276	55.604	41.279	74.932	999.836	0	51.387	0	0	0	93.495	0	0	0	0	0
K00003|g__Veillonella.s__Veillonella_parvula	0	554.183	0	0	1065.996	420.044	1398.385	85.679	403.689	181.411	333.432	0	232.601	0	0	0	256.946	0	0	0	0	0
K00003|unclassified	0	0	0	0	0	0	15.124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00004	0	0	0	0	38.079	13.769	26.481	5.294	8.473	10.591	1425.843	0	0	0	0	1.014	4.237	0	0	0	0	0
K00004|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.014	0	0	0	0	0	0
K00004|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	38.079	13.769	26.481	5.294	8.473	10.591	1425.843	0	0	0	0	0	4.237	0	0	0	0	0
K00005	0	971.747	0	0	1979.385	895.988	2479.504	264.644	867.722	422.734	3609.403	0	471.803	0	0	0	587.908	2.053	0	0	0	0
K00005|g__Veillonella.s__Veillonella_parvula	0	971.747	0	0	1979.385	895.988	2479.504	264.644	867.722	422.734	3609.403	0	471.803	0	0	0	587.908	2.053	0	0	0	0
K00006	0	0	0	0	5.391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00006|unclassified	0	0	0	0	5.391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.447	0	0	0	0	0	0
K00008|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.447	0	0	0	0	0	0
K00013	0	2590.109	0	0	4501.097	1673.605	7505.345	427.478	2256.265	1439.111	150.177	0	1515.867	0	0	9.836	1827.64	0	9.829	0	1.639	3.278
K00013|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.836	0	0	9.829	0	1.639	3.278
K00013|g__Veillonella.s__Veillonella_parvula	0	2590.109	0	0	4501.097	1673.605	7505.345	427.478	2256.265	1439.111	150.177	0	1515.867	0	0	0	1827.64	0	0	0	0	0
K00014	0	22.511	0	0	139.005	25.166	132.21	1.325	13.242	15.889	500.024	0	9.27	0	0	13.965	23.839	4.243	0	0	0	0
K00014|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.965	0	0	0	0	0	0
K00014|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.243	0	0	0	0
K00014|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	22.511	0	0	139.005	25.166	132.21	1.325	13.242	15.889	500.024	0	9.27	0	0	0	23.839	0	0	0	0	0
K00016	0	1033.398	0	0	7565.447	1363.62	5541.263	380.631	501.127	747.65	32994.511	0	345.865	0	0	0	414.283	0	0	0	6.19	0
K00016|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6	0	0	0	0	0
K00016|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	928.604	0	0	7297.911	1271.747	5258.362	357.134	413.924	706.435	32406.162	0	292.883	0	0	0	363.805	0	0	0	0	0
K00016|g__Veillonella.s__Veillonella_parvula	0	104.794	0	0	260.373	91.873	282.9	23.497	87.202	41.215	571.123	0	52.982	0	0	0	45.877	0	0	0	0	0
K00016|unclassified	0	0	0	0	7.163	0	0	0	0	0	17.226	0	0	0	0	0	0	0	0	0	6.19	0
K00018	0	1076.847	0	0	1795.309	825.578	2364.585	233.617	804.645	443.738	4302.058	0	472.945	0	0	0	456.632	0	0	0	0	0
K00018|g__Veillonella.s__Veillonella_parvula	0	1076.847	0	0	1795.309	825.578	2364.585	233.617	804.645	443.738	4302.058	0	472.945	0	0	0	456.632	0	0	0	0	0
K00024	0	0	0	3.015	6.873	0	0	0	0	0	0	0	0	0	0	6.795	2.01	4.02	3.892	0	2.01	2.01
K00024|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.785	0	0	0	0	0	0
K00024|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	3.015	0	0	0	0	0	0	0	0	0	0	0	2.01	2.01	4.02	3.892	0	2.01	2.01
K00024|unclassified	0	0	0	0	6.873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00025	0	0	0	0	10.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00025|unclassified	0	0	0	0	10.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00027	0	53584.987	0	0	112721.808	48310.23	137352.192	13281.901	41602.188	22146.77	9886.241	0	23026.207	0	0	3.931	26982.455	4.518	7.563	0	1.245	0
K00027|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	3.94	7.223	5.252	3.939	0	1.313	545.91	0	4.594	0	0	0	3.94	0	0	0	0	0
K00027|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.931	1.244	0	7.563	0	1.245	0
K00027|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	22.28	0	0	61.595	14.416	100.209	6.529	14.398	3.932	354.218	0	13.106	0	0	0	6.553	0	0	0	0	0
K00027|g__Veillonella.s__Veillonella_parvula	0	53562.707	0	0	112656.274	48288.591	137246.731	13271.433	41587.79	22141.525	8986.113	0	23008.507	0	0	0	26970.718	4.518	0	0	0	0
K00029	0	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00029|unclassified	0	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00031	0	11.634	0	0	5.379	0	0	0	0	0	0	0	0	0	0	0	0.475	0	9.002	0	0	0
K00031|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.475	0	0	0	0	0
K00031|unclassified	0	11.634	0	0	5.379	0	0	0	0	0	0	0	0	0	0	0	0	0	9.002	0	0	0
K00036	0	74.901	0	0	366.495	82.768	409.103	18.012	36.002	72.749	2188.534	0	21.612	0	0	8.708	43.809	0	2.972	0	2.972	2.972
K00036|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.171	0	0	0	0	0	0
K00036|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.486	1.485	0	2.972	0	2.972	2.972
K00036|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.052	1.263	0	0	0	0	0
K00036|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	74.901	0	0	366.495	82.768	409.103	18.012	36.002	72.749	2188.534	0	21.612	0	0	0	41.06	0	0	0	0	0
K00040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.369	0	0	2.684	0	0	1.342
K00040|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.369	0	0	2.684	0	0	1.342
K00048	0	460.979	0	0	974.259	409.579	1274.088	92.142	408.394	211.65	17199.645	0	181.483	0	0	0	233.729	3.802	0	0	0	0
K00048|g__Veillonella.s__Veillonella_parvula	0	460.979	0	0	974.259	409.579	1274.088	92.142	408.394	211.65	17199.645	0	181.483	0	0	0	233.729	3.802	0	0	0	0
K00052	0	290.864	0	0	815.93	255.805	1109.974	86.517	248.429	117.975	342.706	0	192.104	0	0	2.008	276.363	0	0	0	0	0
K00052|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.008	0	0	0	0	0	0
K00052|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	51.112	0	0	369.586	76.661	503.99	34.045	53.235	17.054	4.263	0	83.06	0	0	0	111.801	0	0	0	0	0
K00052|g__Veillonella.s__Veillonella_parvula	0	239.752	0	0	446.344	179.145	605.984	52.472	195.194	100.921	338.443	0	109.045	0	0	0	164.561	0	0	0	0	0
K00053	0	2918.035	0	4.303	8984.162	2696.465	10495.347	835.3	2613.022	1365.53	2328.411	0	1431.073	0	0	12.279	1535.607	2.178	2.152	0	0	0
K00053|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.447	0	0	0	0	0	0
K00053|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	4.303	0	0	0	0	0	0	0	0	0	0	0	6.405	1.076	1.076	2.152	0	0	0
K00053|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	529.056	0	0	2518.646	615.576	3834.043	218.08	156.804	270.212	648.033	0	252.303	0	0	0	229.493	0	0	0	0	0
K00053|g__Veillonella.s__Veillonella_parvula	0	2388.979	0	0	6434.076	2080.889	6641.817	617.22	2456.218	1095.318	1672.231	0	1178.77	0	0	0	1302.931	1.101	0	0	0	0
K00053|unclassified	0	0	0	0	31.44	0	19.487	0	0	0	8.147	0	0	0	0	4.427	2.106	0	0	0	0	0
K00057	0	126.394	0	0	561.357	108.962	652.807	34.894	36.921	84.975	1127.723	0	73.038	0	0	4.359	63.194	0	0	0	0	0
K00057|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.359	0	0	0	0	0	0
K00057|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	126.394	0	0	561.357	108.962	652.807	34.894	36.921	84.975	1127.723	0	73.038	0	0	0	63.194	0	0	0	0	0
K00058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.489	0.917	0	1.832	0	1.833	0
K00058|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.489	0	0	0	0	0	0
K00058|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.917	0	1.832	0	1.833	0
K00059	0	0	0	0	3.065	3.091	12.365	3.091	0	6.178	1834.042	0	3.091	0	0	0	8.255	0	0	0	0	0
K00059|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	3.065	3.091	12.365	3.091	0	6.178	1834.042	0	3.091	0	0	0	0	0	0	0	0	0
K00059|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.255	0	0	0	0	0
K00060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.397	0	0	12.793	0	0	0
K00060|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.397	0	0	12.793	0	0	0
K00065	0	0	0	0	3.56	0	0	0	0	0	0	0	0	0	0	0	2.178	0	0	0	0	0
K00065|unclassified	0	0	0	0	3.56	0	0	0	0	0	0	0	0	0	0	0	2.178	0	0	0	0	0
K00074	0	0	0	0	12.722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00074|unclassified	0	0	0	0	12.722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00075	0	11.166	0	0	84.818	9.868	43.648	2.481	7.444	4.963	350.885	0	2.481	0	0	0.993	11.921	15.385	3.879	0	3.88	0
K00075|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	6.586	0	0	0	0	0	176.525	0	0	0	0	0	0	0	0	0	0	0
K00075|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94	0	3.879	0	3.88	0
K00075|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.993	0	0	0	0	0	0
K00075|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	11.166	0	0	78.232	9.868	43.648	2.481	7.444	4.963	174.361	0	2.481	0	0	0	9.981	0	0	0	0	0
K00075|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.385	0	0	0	0
K00077	0	2.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.602	0	0	0	0	0
K00077|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	2.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.602	0	0	0	0	0
K00079	0	0	0	0	5.499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00079|unclassified	0	0	0	0	5.499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00084	0	0	0	0	2.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00084|unclassified	0	0	0	0	2.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00088	0	953.535	0	2.826	1997.334	758.111	2414.666	258.314	671.616	569.592	8971.517	0	460.86	0	0	40.592	581.777	0.738	4.307	0	2.139	1.94
K00088|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	5.776	1.444	5.773	1.444	0	1.444	1079.925	0	1.444	0	0	0	4.332	0	0	0	0	0
K00088|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	2.826	0	0	0	0	0	0	0	0	0	0	0	22.362	0.707	0	4.307	0	2.139	0
K00088|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94
K00088|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.341	0	0	0	0	0	0
K00088|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	118.166	0	0	717.725	166.022	641.545	27.553	45.671	160.945	1157.628	0	49.28	0	0	0	55.831	0	0	0	0	0
K00088|g__Veillonella.s__Veillonella_parvula	0	828.327	0	0	1273.833	590.645	1767.347	229.317	625.945	407.202	6733.964	0	410.137	0	0	0	519.844	0.738	0	0	0	0
K00088|unclassified	0	7.042	0	0	0	0	0	0	0	0	0	0	0	0	0	13.889	1.064	0	0	0	0	0
K00090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.194	0	0	0	0	0	0
K00090|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.194	0	0	0	0	0	0
K00096	0	0	0	12.628	0	0	0	0	0	0	0	0	0	0	0	4.724	5.472	6.278	3.139	0	0	1.58
K00096|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	12.628	0	0	0	0	0	0	0	0	0	0	0	4.724	5.472	6.278	3.139	0	0	1.58
K00097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.251	5.313	0	0	0	0	0
K00097|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.251	5.313	0	0	0	0	0
K00099	0	313.375	0	0	782.471	358.266	978.281	77.28	237.767	121.345	2619.793	0	173	0	0	4.448	159.086	1.779	0	0	0	1.779
K00099|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	5.671	7.561	13.232	8.471	0	0	1294.696	0	1.89	0	0	0	5.671	0	0	0	0	0
K00099|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.448	1.779	1.779	0	0	0	1.779
K00099|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.631	0	0	0	0	0
K00099|g__Veillonella.s__Veillonella_parvula	0	313.375	0	0	776.8	350.705	965.05	68.809	237.767	121.345	1325.096	0	171.11	0	0	0	150.004	0	0	0	0	0
K00101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.874	0	0	0	7.874
K00101|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.874	0	0	0	7.874
K00105	0	15.071	0	0	116.438	26.634	112.459	5.791	79.895	6.956	6473.389	0	50.975	0	0	0	59.661	0	0	0	0	0
K00105|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	15.071	0	0	116.438	26.634	112.459	5.791	79.895	6.956	6466.855	0	50.975	0	0	0	59.661	0	0	0	0	0
K00105|unclassified	0	0	0	0	0	0	0	0	0	0	6.533	0	0	0	0	0	0	0	0	0	0	0
K00111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.143	0	0	0	0	0	1.176
K00111|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.143	0	0	0	0	0	0
K00111|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.176
K00113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.253	5.214	0	6.081	0	0	0
K00113|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.093	0	0	0	0	0	0
K00113|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.16	5.214	0	6.081	0	0	0
K00121	0	0	0	0	6.731	0	0	0	0	0	0	0	0	0	0	0	0	0	5.513	0	0	0
K00121|unclassified	0	0	0	0	6.731	0	0	0	0	0	0	0	0	0	0	0	0	0	5.513	0	0	0
K00127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.905	0	0	0	0	0	0
K00127|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.905	0	0	0	0	0	0
K00128	0	35071.833	0	0	52839.923	22770.215	66686.399	6880.317	22764.238	17519.042	14122.827	0	15313.389	0	0	0	17488.22	12.19	0	0	0	0
K00128|g__Veillonella.s__Veillonella_parvula	0	35071.833	0	0	52835.316	22770.215	66686.399	6880.317	22764.238	17519.042	14122.827	0	15313.389	0	0	0	17488.22	12.19	0	0	0	0
K00128|unclassified	0	0	0	0	4.608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00129	0	0	0	0	3.931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00129|unclassified	0	0	0	0	3.931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00131	0	33.191	0	0	224.763	33.207	237.162	9.795	6.037	8.301	18.09	0	23.397	0	0	0	15.076	0	0	0	0	0
K00131|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	33.191	0	0	200.725	33.207	216.529	9.795	6.037	8.301	18.09	0	23.397	0	0	0	15.076	0	0	0	0	0
K00131|unclassified	0	0	0	0	24.038	0	20.633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00133	0	117.63	0	0	690.582	135.084	717.043	27.579	24.564	121.791	172.79	0	25.57	0	0	5.1	29.681	0	0	0	0	0
K00133|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.177	0	0	0	0	0	0
K00133|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.923	0	0	0	0	0	0
K00133|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	117.63	0	0	690.582	135.084	717.043	27.579	24.564	121.791	172.79	0	25.57	0	0	0	29.681	0	0	0	0	0
K00134	9.948	3727.39	55.124	73.483	19480.448	4509.382	17849.663	1209.244	1931.238	2556.202	403289.17	0	1667.599	0	2.559	89.53	2008.815	134.565	61.035	0	51.78	22.453
K00134|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	101.133	60.218	123.708	45.205	0	48.435	11017.602	0	48.436	0	0	0	43.047	0	0	0	0	0
K00134|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.552	0	0	0	0	0	0
K00134|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	2996.658	0	0	18108.16	3933.457	16169.714	1027.608	1388.427	2187.567	388911.851	0	1225.181	0	0	0	1451.902	0	0	0	0	0
K00134|g__Veillonella.s__Veillonella_parvula	0	643.004	0	0	1196.993	510.207	1517.976	126.089	509.664	300.288	3154.358	0	393.981	0	0	0	429.934	0	0	0	0	0
K00134|unclassified	9.948	87.729	55.124	73.483	74.161	5.5	38.264	10.341	33.148	19.912	205.359	0	0	0	2.559	82.978	83.932	134.565	61.035	0	51.78	22.453
K00135	0	0	0	3.651	0	0	0	0	0	0	0	0	0	0	0	5.154	5.946	0.736	6.093	0	0	1.28
K00135|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	3.651	0	0	0	0	0	0	0	0	0	0	0	5.154	1.472	0.736	1.473	0	0	0
K00135|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.474	0	0	0	0	1.28
K00135|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62	0	0	0
K00138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.937	0	0	0	0	0	0
K00138|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.937	0	0	0	0	0	0
K00140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.869	0	0	0	0
K00140|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.869	0	0	0	0
K00145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.184	4.184	0	0	0	4.184	0
K00145|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.184	4.184	0	0	0	4.184	0
K00147	0	204.923	0	5.226	539.506	236.839	655.406	51.667	152.384	93.816	713.011	0	130.944	0	0	1.733	124.858	0	2.602	0	1.741	4.355
K00147|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.733	0	0	0	0	0	0
K00147|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	5.226	0	0	0	0	0	0	0	0	0	0	0	0	3.484	0	2.602	0	1.741	4.355
K00147|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	12.038	0	0	22.355	8.597	49.794	3.438	3.439	12.038	105.608	0	6.019	0	0	0	14.588	0	0	0	0	0
K00147|g__Veillonella.s__Veillonella_parvula	0	192.885	0	0	517.151	228.242	605.612	48.229	148.944	81.779	607.403	0	124.925	0	0	0	106.786	0	0	0	0	0
K00153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.008	0	0	0	0	0
K00153|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.008	0	0	0	0	0
K00156	0	1026.378	0	0	1146.814	548.652	1737.568	239.12	675.557	452.609	1634.524	0	500.71	0	0	0.595	507.965	0.608	0	0	0	2.369
